job_name	condition	category	status	chain_count	models_returned	best_model	best_ranking_score	mean_ranking_score	best_iptm	mean_iptm	best_ptm	mean_ptm	tcr_pmhc_pair_iptm	tcr_peptide_pair_iptm	peptide_mhc_pair_iptm	best_has_clash	result_folder
PMHC_MBP_DRB1_S101	PMHC_MBP_DRB1	pMHC control	completed	3	5	0	0.930	0.924	0.880	0.880	0.890	0.890			0.645	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/fold_pmhc_mbp_drb1_s101
PMHC_MBP_DRB1_S202	PMHC_MBP_DRB1	pMHC control	completed	3	5	0	0.940	0.938	0.890	0.892	0.890	0.892			0.735	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_mbp_drb1_s202
PMHC_MBP_DRB1_S303	PMHC_MBP_DRB1	pMHC control	completed	3	5	0	0.930	0.924	0.890	0.882	0.890	0.890			0.615	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_mbp_drb1_s303
PMHC_MBP_DRB1_S404	PMHC_MBP_DRB1	pMHC control	completed	3	5	0	0.930	0.924	0.900	0.886	0.900	0.892			0.665	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_mbp_drb1_s404
PMHC_MBP_DRB1_S505	PMHC_MBP_DRB1	pMHC control	completed	3	5	0	0.940	0.934	0.890	0.890	0.890	0.890			0.655	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_mbp_drb1_s505
PMHC_BALF5_FULL15_S101	PMHC_BALF5_FULL15	pMHC control	completed	3	5	0	0.950	0.946	0.920	0.920	0.930	0.924			0.715	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_balf5_full15_s101
PMHC_BALF5_FULL15_S202	PMHC_BALF5_FULL15	pMHC control	completed	3	5	0	0.950	0.946	0.930	0.922	0.930	0.922			0.740	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_balf5_full15_s202
PMHC_BALF5_FULL15_S303	PMHC_BALF5_FULL15	pMHC control	completed	3	5	0	0.950	0.950	0.930	0.928	0.930	0.926			0.750	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_balf5_full15_s303
PMHC_BALF5_FULL15_S404	PMHC_BALF5_FULL15	pMHC control	completed	3	5	0	0.950	0.948	0.930	0.924	0.930	0.924			0.750	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_balf5_full15_s404
PMHC_BALF5_FULL15_S505	PMHC_BALF5_FULL15	pMHC control	completed	3	5	0	0.950	0.942	0.920	0.920	0.920	0.920			0.725	0	/Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/Downloads/folds_2026_08_04_20_19 (1)/pmhc_balf5_full15_s505
