relative_path,source_id,sha256,size_bytes,linked_arm_ids,linked_target_ids,linkage_status
raw_responses/ebv_uniprot_sequences.fasta,ebv_uniprot_sequences.fasta,4fd06641500abfe2c395e173f84a2719aba56314a87954040b26b638e3154273,410592,HY03_SEQ_01__ebv;HY03_SEQ_01__self;HY03_SEQ_02__ebv;HY03_SEQ_02__self;HY08_SEQ_01__ebv;HY08_SEQ_01__self;HY08_SEQ_02__ebv;HY08_SEQ_02__self;HY13_SEQ_01__ebv;HY13_SEQ_01__self;HY13_SEQ_02__ebv;HY13_SEQ_02__self;HY15_SEQ_01__ebv;HY15_SEQ_01__self;HY15_SEQ_02__ebv;HY15_SEQ_02__self,HY03_SEQ_01;HY03_SEQ_02;HY08_SEQ_01;HY08_SEQ_02;HY13_SEQ_01;HY13_SEQ_02;HY15_SEQ_01;HY15_SEQ_02,exact_or_query_manifest
raw_responses/gnomad/ANO2.json,gnomad,0e622e940bb3d5c698c84445fd713bc1d8b836a5dbb3bcbbe68c94b4947e4b4d,2497028,HY08_SEQ_01__self,HY08_SEQ_01,exact_or_query_manifest
raw_responses/gnomad/CRYAB.json,gnomad,b20305494497cf10f12bcbf7e0ee000d7c2f76b59e507f4af6feca8d1cc14b19,311938,HY03_SEQ_02__self;HY15_SEQ_01__self,HY03_SEQ_02;HY15_SEQ_01,exact_or_query_manifest
raw_responses/gnomad/MOG.json,gnomad,6b9a8d7adbcd2dbd2a8faf125df0c26caad3521303fc9571aa907fad9370e904,670022,HY03_SEQ_01__self;HY08_SEQ_02__self;HY13_SEQ_01__self,HY03_SEQ_01;HY08_SEQ_02;HY13_SEQ_01,exact_or_query_manifest
raw_responses/gnomad/TALDO1.json,gnomad,e355081886af9d4959d54eaa8935889aec590461c06a89a2a300a4e18bf7bb8d,1004912,HY13_SEQ_02__self;HY15_SEQ_02__self,HY13_SEQ_02;HY15_SEQ_02,exact_or_query_manifest
raw_responses/hla_ligand_atlas_2020_12/donors.tsv.gz,hla_ligand_atlas_2020_12,753c8ba45bdd4d9026decc4cd837325a66b2d1ea93d28d437c66aabe5c45a5b3,1190,HY03_SEQ_01__ebv;HY03_SEQ_01__self;HY03_SEQ_02__ebv;HY03_SEQ_02__self;HY08_SEQ_01__ebv;HY08_SEQ_01__self;HY08_SEQ_02__ebv;HY08_SEQ_02__self;HY13_SEQ_01__ebv;HY13_SEQ_01__self;HY13_SEQ_02__ebv;HY13_SEQ_02__self;HY15_SEQ_01__ebv;HY15_SEQ_01__self;HY15_SEQ_02__ebv;HY15_SEQ_02__self,HY03_SEQ_01;HY03_SEQ_02;HY08_SEQ_01;HY08_SEQ_02;HY13_SEQ_01;HY13_SEQ_02;HY15_SEQ_01;HY15_SEQ_02,exact_or_query_manifest
raw_responses/hla_ligand_atlas_2020_12/peptides.tsv.gz,hla_ligand_atlas_2020_12,daeb0c0146e3037c6e4b2b58663a7a9dc6bce821ef1995e817f70367a0ad28c3,2104709,HY03_SEQ_01__ebv;HY03_SEQ_01__self;HY03_SEQ_02__ebv;HY03_SEQ_02__self;HY08_SEQ_01__ebv;HY08_SEQ_01__self;HY08_SEQ_02__ebv;HY08_SEQ_02__self;HY13_SEQ_01__ebv;HY13_SEQ_01__self;HY13_SEQ_02__ebv;HY13_SEQ_02__self;HY15_SEQ_01__ebv;HY15_SEQ_01__self;HY15_SEQ_02__ebv;HY15_SEQ_02__self,HY03_SEQ_01;HY03_SEQ_02;HY08_SEQ_01;HY08_SEQ_02;HY13_SEQ_01;HY13_SEQ_02;HY15_SEQ_01;HY15_SEQ_02,exact_or_query_manifest
raw_responses/hla_ligand_atlas_2020_12/protein_map.tsv.gz,hla_ligand_atlas_2020_12,2e3b7887a68d1f20758e3e3f7385a0549ebef73d98e387edb4c87efcd8d87d36,1736026,HY03_SEQ_01__ebv;HY03_SEQ_01__self;HY03_SEQ_02__ebv;HY03_SEQ_02__self;HY08_SEQ_01__ebv;HY08_SEQ_01__self;HY08_SEQ_02__ebv;HY08_SEQ_02__self;HY13_SEQ_01__ebv;HY13_SEQ_01__self;HY13_SEQ_02__ebv;HY13_SEQ_02__self;HY15_SEQ_01__ebv;HY15_SEQ_01__self;HY15_SEQ_02__ebv;HY15_SEQ_02__self,HY03_SEQ_01;HY03_SEQ_02;HY08_SEQ_01;HY08_SEQ_02;HY13_SEQ_01;HY13_SEQ_02;HY15_SEQ_01;HY15_SEQ_02,exact_or_query_manifest
raw_responses/hla_ligand_atlas_2020_12/sample_hits.tsv.gz,hla_ligand_atlas_2020_12,0e8771113cae27c620b2b9619f035675ddcc87b8d7dfac50750e71ab60eb0167,3167689,HY03_SEQ_02__self;HY13_SEQ_02__self;HY15_SEQ_01__self;HY15_SEQ_02__self,HY03_SEQ_02;HY13_SEQ_02;HY15_SEQ_01;HY15_SEQ_02,exact_or_query_manifest
raw_responses/hla_ligand_atlas_hits.csv,hla_ligand_atlas_hits.csv,fd03d72bbc16ce3dc88fde76e4f3c1b22663114abb988ddc68cfd42e1cb93fd6,21898,,,package_level_status_or_standardized_output
raw_responses/human_common_variant_records.csv,human_common_variant_records.csv,60a9848b502f041f63728d9b1c83aa00019e898920525b22766fd0fa2b7d3a23,38288,,,package_level_status_or_standardized_output
raw_responses/human_common_variant_status.csv,human_common_variant_status.csv,3f222864eee1deef7a37b1d8f1b21adbca46549712eaaffd0c73edd64d64a07f,387,,,package_level_status_or_standardized_output
raw_responses/human_reviewed_canonical.fasta,human_reviewed_canonical.fasta,29e2a2f54f18e7eac95c04ffa9593888c0482345c376668bfac4d820c08ffe1e,13666527,HY03_SEQ_01__ebv;HY03_SEQ_01__self;HY03_SEQ_02__ebv;HY03_SEQ_02__self;HY08_SEQ_01__ebv;HY08_SEQ_01__self;HY08_SEQ_02__ebv;HY08_SEQ_02__self;HY13_SEQ_01__ebv;HY13_SEQ_01__self;HY13_SEQ_02__ebv;HY13_SEQ_02__self;HY15_SEQ_01__ebv;HY15_SEQ_01__self;HY15_SEQ_02__ebv;HY15_SEQ_02__self,HY03_SEQ_01;HY03_SEQ_02;HY08_SEQ_01;HY08_SEQ_02;HY13_SEQ_01;HY13_SEQ_02;HY15_SEQ_01;HY15_SEQ_02,exact_or_query_manifest
raw_responses/iedb_assay_records.csv,iedb_assay_records.csv,2eeb771e7bf4c15ce7f32e2dd8c37ac28fe39964644b066dc0a291a6188b4e0c,271753,,,package_level_status_or_standardized_output
