arm_class,candidate_id,container_image_digest,dx_bytes,dx_retention,dx_sha256,exit_code,form,input,input_sha256,model_key,panel_id,sample_index,solute_dielectric,status,stderr,stdout
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12800873,transient_deleted_after_checksum_and_sampling,87d93156a307d13b0a0f9f0c31087fcfdde226800c1bb8a795a8e95dba3ad6bc,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/full.in,d2ec9c174c338d715cb0d412694eedc29bba2072bd70564324cca2a0789f0184,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,2.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12914708,transient_deleted_after_checksum_and_sampling,87b7a7102a6702876ed6560edb251a555e9241b8302122a269d0a3afb3c52519,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/hla_only.in,a5bd7e7b473a34b994885798c2df1fab1c8fc9c6288ea31821de302d0667e0e8,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,2.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/hla_only.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12803949,transient_deleted_after_checksum_and_sampling,ecc0a45db84257cb966e79936a54eddd74358406368e428f75c38e0ebb7f8328,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/full.in,bdff27940731d444a5fe7b8bb3e9d3e2975931caea1f8424b1631508b4754fd2,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,4.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12919515,transient_deleted_after_checksum_and_sampling,3ca768b9e5c813beb02158f81e16344cb89daeb4464d25a024fba56ddacac840,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/hla_only.in,113ce4312187f62cd7d082413684bda23190b068b070335d0053a1e75e680018,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,4.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/hla_only.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12808898,transient_deleted_after_checksum_and_sampling,8b5191c6693bdd3b3d30d900f53c57cf01865bccd6bc62b2d805e0a21cae278a,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/full.in,b26e7b7f727835abe14143a1e62464b0bbdab5ec1aa310b53e3e9fb30c55aa20,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,8.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12927461,transient_deleted_after_checksum_and_sampling,accc0528b44270c10d87d04c41ba3d33316662c36d3b898dddb3a36652d483b7,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/hla_only.in,f0b9ef3bfe3a48e987a46b7f9c40f7cbf580a293e96d9b04def169976303f956,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,8.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/hla_only.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12794571,transient_deleted_after_checksum_and_sampling,7f974a3f85558da1a88d1802c85713ac34d90ac40bef56c7a07b25695a76dfe5,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/full.in,12416c76030e7ab3c4fedee1ca20c61368a1d85d00a40ac5f0bac93b3c524d58,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,1,2.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12904655,transient_deleted_after_checksum_and_sampling,90906689614a885350065b1c8e5b8a904054039951c254304af6795900436cc0,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/hla_only.in,7aa88990b1a63892d7f14a6372982d3d866ddba09b35309ff7c15f2d2a80ee8e,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,1,2.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/hla_only.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12797093,transient_deleted_after_checksum_and_sampling,69a4b88ea6bb4e0dced34c017a0daeb5b9611cd4f621d212e0a253891657b8b0,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/full.in,caa8bcdefd13d23d786044e9dc2896e4a850c1694cd7a41348f847f53e8bfcad,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,1,4.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12909959,transient_deleted_after_checksum_and_sampling,7d0982f555b47ebe7af77870ffb7201fc2ffa830ec1dea6f8e13df797577cb80,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/hla_only.in,d195b217ee40241bd7c22686dac789802e6a41de91d216b1b1e497e9ccddaea5,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,1,4.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/hla_only.stdout.txt
