arm_class,candidate_id,container_image_digest,dx_bytes,dx_retention,dx_sha256,exit_code,form,input,input_sha256,model_key,panel_id,sample_index,solute_dielectric,status,stderr,stdout
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,16931029,transient_deleted_after_checksum_and_sampling,b8baa05b55cc198bae3a8dc06720d7fd8a87da3247c4657446c49e1e2e2ed5b2,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/full.in,4696ea0d39d22e9dc385efdaaeae07ca6343d9174f3b0d90e7c37ac8acbb0fef,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,2.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,17057474,transient_deleted_after_checksum_and_sampling,9b879f5b2f26a931b6aa674711d77f9ce75daf8227dcc0ef6752be0e4c64d468,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/hla_only.in,320a6a40d204494a0d625bfee657d0513bab8f7566773046fc61fbd909704e3c,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,2.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps2/hla_only.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,16935842,transient_deleted_after_checksum_and_sampling,98d9d6c428da352d7d32490fe04464f0f68e106f5c1e617da9b4d51443ee4abf,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/full.in,a8636ca510a294bcf663a5931d0a2bc3259c4b04376c4b4be1392bccd97c0ed2,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,4.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,17068480,transient_deleted_after_checksum_and_sampling,9abf81a1421d4b5f2159be76d53799e564afa63a5e10daa76fa1532e9f7e1bdf,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/hla_only.in,466731d890e5ac4cdb7d8892ba6a0009829523cdfa31a1d0b28d1c465347096d,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,4.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps4/hla_only.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,16944555,transient_deleted_after_checksum_and_sampling,e794814cba9b0ee04f2c03eb5d3a3946cf6c1a13e5d1d444d08d108e5e3f1715,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/full.in,4af72e81ac8b4a5dcdbb022dd54613da34fd2c74aac685c35f5f9a1d22b11c0b,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,8.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,17084940,transient_deleted_after_checksum_and_sampling,94451aaceb0d8704ba41cb56ddb6b187cf800dfc144323764cbe3d8b2320dbee,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/hla_only.in,c591c9a2908e1589fe08b03f0fe20a6c310a913a594a469819c8cf81d37c341a,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,8.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0/eps8/hla_only.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,16914890,transient_deleted_after_checksum_and_sampling,4d3c7ae546588e3a528c64bdb7936536655f4b7c33d9355a140ab20b3bb2a879,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/full.in,616cf4d3cf8d4649347d823b7c7d7953c33ebcb433d4a1afc961914dfcf747d4,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,1,2.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,17038269,transient_deleted_after_checksum_and_sampling,8aa648f8ba2d0c2bd56be24dd6ef57c0f97d13aea69a7a065c812595dbb25b13,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/hla_only.in,80824bc11ad1828ffca15b3c03f1cdadabdab07b34da9958ac278b321eb1be2d,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,1,2.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps2/hla_only.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,16919479,transient_deleted_after_checksum_and_sampling,cb6afae0f2dd948975f8e739e06bd07b76b5f99d5ce8199feb9cde51eae8f2c2,0,full,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/full.in,1cda7c77e281cf72df3bad49d5e8bec03372822e2f5c287a2fcccecca82ebaf5,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,1,4.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/full.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/full.stdout.txt
ebv,EBV_IEDB_090bd09c6880,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,17051487,transient_deleted_after_checksum_and_sampling,41b22118d42b751587617275d996d1bda77e9cbfb0de7e54b9a04e532bc937b2,0,hla_only,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/hla_only.in,d71925edc8f526888c84c189dce6e35f173ce186821c96e51cdeaa16a5cda6a6,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1,HY13_SEQ_02,1,4.0,complete,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/hla_only.stderr.txt,raw_calculations/apbs/HY13_SEQ_02/HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s1/eps4/hla_only.stdout.txt
