arm_class,candidate_id,container_image_digest,dx_bytes,dx_retention,dx_sha256,exit_code,form,input,input_sha256,model_key,panel_id,sample_index,solute_dielectric,status,stderr,stdout
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12915928,transient_deleted_after_checksum_and_sampling,53144e192655fd8c30c0197377e4b88363e895a47366418b3bb2dea595f1b9da,0,full,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps2/full.in,44c9fb5d66c52f7a5094ef5dd2ed2d27f603f75603eb57257f96d3a83f956329,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,0,2.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps2/full.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps2/full.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12886684,transient_deleted_after_checksum_and_sampling,ed1aba708d0abf74472e81dfbd49733c794d3ad7e9d965cfe76eff25abb602ff,0,hla_only,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps2/hla_only.in,388c8f62cc174d1e699c79174f76769cb7d5f595873e550d01b00d5ef05705ae,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,0,2.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps2/hla_only.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps2/hla_only.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12926911,transient_deleted_after_checksum_and_sampling,f3663c97a92000db61472e1b1fe949ffff283055dcf6525f608e02030fdbca73,0,full,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps4/full.in,8b655c994f119143cbdd79775dd2859a7a4ee48e1cff58bfbdec584c2dd7ac62,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,0,4.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps4/full.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps4/full.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12892489,transient_deleted_after_checksum_and_sampling,93cc57feec10cf1bb1d0f8546ce4d4ba6338b56a1c4df20bd849b25993fceac7,0,hla_only,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps4/hla_only.in,48c9e3d3dc0dc5d1030ccfb2978f7ec86840d8843fd7de75a93a55a4d8d53a55,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,0,4.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps4/hla_only.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps4/hla_only.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12941988,transient_deleted_after_checksum_and_sampling,f954885cc09af7f34a3b1b078a0034dddeb7eea79fcb04d1fb48d9512fc8bd6f,0,full,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps8/full.in,a43e83f718e369d8af7fe9357099318e3e8761189e5ce0c2595699e02480114f,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,0,8.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps8/full.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps8/full.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12901537,transient_deleted_after_checksum_and_sampling,46fa1de4bd035e124caa42ddba87634b9f65749b502fc3a2c619ae1093d7d443,0,hla_only,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps8/hla_only.in,19c7c8df6bf571980d709149e9ff544d505171e413784a39a33c1294fd895bce,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,0,8.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps8/hla_only.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0/eps8/hla_only.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12896961,transient_deleted_after_checksum_and_sampling,6eccab10036b7e3974467959e97c9472ffaf4ffdb3f8c5bc0b6292559e6424c2,0,full,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps2/full.in,b1f937c37f4ca6cb0ca869f5a3921b53081bd0d32d376e5c64c283772b750fd0,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1,HY03_SEQ_01,1,2.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps2/full.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps2/full.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12888048,transient_deleted_after_checksum_and_sampling,f1a5179ab1e1a3129293e527b18a5d819c6634f5ee3cef5f7a0c9bd6e7a6d841,0,hla_only,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps2/hla_only.in,3e4784b907cbda3e4045f33be1e230e754a4e509857f476451e213c93289d351,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1,HY03_SEQ_01,1,2.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps2/hla_only.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps2/hla_only.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12912435,transient_deleted_after_checksum_and_sampling,4935aa48b0599f1d588a4b46e4ca9b1a1eb58a2db482aa0260fb4ab490f34626,0,full,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps4/full.in,efd22d156a2a6b34b3b61ab20bb7a9149c644ad12e75e04aeb5bd18a86083e4e,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1,HY03_SEQ_01,1,4.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps4/full.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps4/full.stdout.txt
ebv,EBV_IEDB_087fb937093d,ubuntu@sha256:2edbbc5dc405e9612ba3584ce95480277e3eb374407b5505fe26f17df77c7dbc,12894312,transient_deleted_after_checksum_and_sampling,ef959f3612765ffe592a5087df445bb7ef3f546144e83c017153e1ca424a2785,0,hla_only,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps4/hla_only.in,33671343679e8d11fb68554fd26e68be15bfe58d3a6a6a1e857088ab886f5c14,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1,HY03_SEQ_01,1,4.0,complete,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps4/hla_only.stderr.txt,raw_calculations/apbs/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1/eps4/hla_only.stdout.txt
