command,exit_code,form,model_key,panel_id,pqr,pqr_sha256,propka_log,status,stderr,stdout
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__full.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__full.pqr,0,full,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__full.pqr,a1a5afb00973d8d78efca2927a8ac176545ecfa52a334e93a220a112f975f1ca,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__full.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__full.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__full.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__hla_only.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__hla_only.pqr,0,hla_only,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__hla_only.pqr,51607db2d74fe086f038e0390bc4dbc2cc57faa5fb51109c6fc1d859c694340b,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__hla_only.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__hla_only.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0__hla_only.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__full.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__full.pqr,0,full,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__full.pqr,82758e5ac27262f8bf1db56c869e6c78340bce19a252cc6e375f301e6deac77b,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__full.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__full.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__full.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__hla_only.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__hla_only.pqr,0,hla_only,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__hla_only.pqr,04341600e0c312c134ea468a2d7de090a752d30bf1e4c1f2b0067ebd3108d63f,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__hla_only.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__hla_only.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s1__hla_only.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__full.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__full.pqr,0,full,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__full.pqr,9dcad81b78b782126decb868f47beb420b63160a4637177bc3697d3efb93cb06,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__full.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__full.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__full.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__hla_only.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__hla_only.pqr,0,hla_only,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__hla_only.pqr,73b0d2c068b8c1d9f11160854decaf68a394ff93ec121388e1b0856de560e898,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__hla_only.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__hla_only.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s2__hla_only.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__full.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__full.pqr,0,full,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__full.pqr,27fdba12bbc26740c612be8766470cc75f8b25d74c1745e699f9a39219fa79ab,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__full.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__full.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__full.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__hla_only.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__hla_only.pqr,0,hla_only,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__hla_only.pqr,5b0565d63a5163071d6e44fdb5ca2f0ff10cccf2b41c50ae24e1db68eb50619f,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__hla_only.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__hla_only.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s3__hla_only.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__full.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__full.pqr,0,full,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__full.pqr,60ed6a5d2c67288a0176e9029283ec392122ae032c68ed39bff4fd6b7cdeb63c,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__full.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__full.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__full.stdout.txt
/Users/anishsharma/.cache/ebv_ms_tools/pmhc_electrostatics/pdb2pqr-3.7.1-py313-venv/bin/pdb2pqr --ff=PARSE --keep-chain --titration-state-method=propka --with-ph=7.4 /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/prepared_structures/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__hla_only.pdb /Users/anishsharma/Library/Mobile Documents/com~apple~CloudDocs/ebv_ms_publication/processed/pmhc_surface_electrostatics_sequence_expansion_2026-08-30/raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__hla_only.pqr,0,hla_only,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4,HY03_SEQ_01,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__hla_only.pqr,f88f3277c7a862efce1880072c0974b38b0568c98f804d01be457afda43b8ba9,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__hla_only.log,complete,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__hla_only.stderr.txt,raw_calculations/protonation/HY03_SEQ_01/HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s4__hla_only.stdout.txt
