accessibility_dx_sha256,apbs_executable_sha256,container_digest,execution_backend,exit_code,input,input_sha256,model_key,potential_dx_retention,potential_dx_sha256,retained_accessibility_map,retained_accessibility_map_sha256,sampled_vector_file,sampled_vector_sha256,status,stderr,stdout,variant
,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/lpbe_eps4_grid0.50/apbs.in,bf0956964e3cc2e9fb161896aedf4767a350228b58faddd20decfed3f8d20023,af|271828|V2PMHC_059a1481886fcb83|m0,deleted_after_checksum_and_sampling,5652770d819b1a0ab6d39ebaad649df95ec25f08b15814d303d71e467a8ebdc8,,,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m0__lpbe_eps4_grid0.50.npz,fc55b5f1b5bf2fa7e6a6320a65406b624e51600bfb7c3759245625a215e4740f,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/lpbe_eps4_grid0.50/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/lpbe_eps4_grid0.50/stdout.txt,lpbe_eps4_grid0.50
,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps2_grid0.50/apbs.in,c6e55bd27e6e4f8705045657ed71c3402f76ae1b0dcbaad4ef3b5a92d7c8c728,af|271828|V2PMHC_059a1481886fcb83|m0,deleted_after_checksum_and_sampling,73730b9e0bc1b3b4b985a7cb728a1593823124db37595252b6f6df6dacabc689,,,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m0__npbe_eps2_grid0.50.npz,768bce3794bfe7b4d7eec3353b7ebbf3810b7efb471f1273fa132ff96a659d75,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps2_grid0.50/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps2_grid0.50/stdout.txt,npbe_eps2_grid0.50
fb07f27b2ec987c136525d543665686d4d53e3c4e96c7a7977f26a69773f26aa,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.35/apbs.in,144a7345d59f6cade80d766160161c785533c07d4bc1c333c970e85b5c6c2a35,af|271828|V2PMHC_059a1481886fcb83|m0,deleted_after_checksum_and_sampling,211ef2864439c95a3e0efe02935baa063123599b2c059442373cea7ef7c8d0a5,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.35/accessibility.dx.gz,7683cfa2d0156dd3f6e64f650d0528c43c7c7e52857359f3af558dba40a37678,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m0__npbe_eps4_grid0.35.npz,98aaa8412d78e4afb7cd0612ca25e485af7fb42de38a4aff32eccd1b083ff679,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.35/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.35/stdout.txt,npbe_eps4_grid0.35
0622b7a3646e0b22ac76a4e276c03f2b6ec5c3a49e87786747aa928456ed3676,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.50/apbs.in,3c3d513201620a3a21cf8c0070b317ce13dffca60de7426692743ded1de18e0c,af|271828|V2PMHC_059a1481886fcb83|m0,deleted_after_checksum_and_sampling,6caa6aac5f23bf4bf8c6a1f20627b2a8df9797bff42491e0153875cd728dd928,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.50/accessibility.dx.gz,8bf76b0b2b106f72731d4bfb19e127268a210e5311d4bb4d436ac1eaae4a6e67,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m0__npbe_eps4_grid0.50.npz,23815e0ec511629937dfa5532f58de5b46d4b2c7d5f9b57c45ac4fab97503ac1,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.50/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.50/stdout.txt,npbe_eps4_grid0.50
,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.50_fixed_charge/apbs.in,0baead61f28d54bfd9fdfd35cea1146111bcbb62c4ad2819b993381fb2dfbf2e,af|271828|V2PMHC_059a1481886fcb83|m0,deleted_after_checksum_and_sampling,6caa6aac5f23bf4bf8c6a1f20627b2a8df9797bff42491e0153875cd728dd928,,,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m0__npbe_eps4_grid0.50_fixed_charge.npz,28dd68bf63687cdc09b7f326938d4f83bbb5cfaa284fcfa04e74b1bbe017f868,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.50_fixed_charge/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps4_grid0.50_fixed_charge/stdout.txt,npbe_eps4_grid0.50_fixed_charge
,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps8_grid0.50/apbs.in,4e50d980c0140a2acfc9196812de220904d73a2418cefa3dcd0c43b22ed931a6,af|271828|V2PMHC_059a1481886fcb83|m0,deleted_after_checksum_and_sampling,0231a28b28b8898a6e9454a154a09a8927258a42ce50c4a89f271ab924e88534,,,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m0__npbe_eps8_grid0.50.npz,9c5053ef1fbaf046369fb31c7197fe2fd38c3742665f83df920e960fcd225d9a,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps8_grid0.50/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m0/npbe_eps8_grid0.50/stdout.txt,npbe_eps8_grid0.50
,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/lpbe_eps4_grid0.50/apbs.in,e83d025f079dd76912529800294771dc422073b5dab18c5bf5bf94b426b672e5,af|271828|V2PMHC_059a1481886fcb83|m1,deleted_after_checksum_and_sampling,3c9222f5d20b42c21afa06240e0d1f68be0be1ca9881d638512dbca0a191298a,,,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m1__lpbe_eps4_grid0.50.npz,6725c726b7c9bc124189df4a25b3ef898f0d1e87743ba7696036023962a7868a,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/lpbe_eps4_grid0.50/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/lpbe_eps4_grid0.50/stdout.txt,lpbe_eps4_grid0.50
,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps2_grid0.50/apbs.in,20b4b47a19be3e52d8e1fa4f3c20ea98b390bb7c15516ae48c9c5370dd5e8f58,af|271828|V2PMHC_059a1481886fcb83|m1,deleted_after_checksum_and_sampling,40b417d3688ea995cd6ffccff04d9843aa165809b0c68a8a15fccb87253ca0b4,,,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m1__npbe_eps2_grid0.50.npz,080e074d37a960657aabe9a38fd0eec249c89be548b882fc4acdd06f20bdb563,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps2_grid0.50/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps2_grid0.50/stdout.txt,npbe_eps2_grid0.50
f14805a9f6899cefbb73b85a0eb8f65f2c875d459106c0ed72dccdb87e2f9158,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps4_grid0.35/apbs.in,8a7f4a2c353a32c861bf713b7e480046dc1eabd55cb9a4b82e1d1fd050ba0c60,af|271828|V2PMHC_059a1481886fcb83|m1,deleted_after_checksum_and_sampling,4b1af8c1f4a14bc89367e85cb1796c08873b3523beb5136bd22b1ddfb43f760d,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps4_grid0.35/accessibility.dx.gz,32e079e7ffaf55534806b28c3da91797b78cd6be28f05b06480b2a9df7b0b3e5,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m1__npbe_eps4_grid0.35.npz,8f43f9eda6208951bb78ab815acb8a07c6ef0f25bef6c8a694615852877ba8c7,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps4_grid0.35/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps4_grid0.35/stdout.txt,npbe_eps4_grid0.35
00058845a679e8f83025325750983cf6027ffabfcd1d5a58140fe5cecaeeadbf,ead283af6713f761d7e49b6fa8b633c278cf47dcf9b5b4cc29a054fa6fb172cb,,native_osx_arm64_conda_forge,0,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps4_grid0.50/apbs.in,30248f5459fbf05efa2c1e1d348864b326782164589eb71765de6ce4b8506f63,af|271828|V2PMHC_059a1481886fcb83|m1,deleted_after_checksum_and_sampling,e22ebc8b3c9872998a2b9d16325f395d7bbc84a1beda4249d023951333ab0bfb,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps4_grid0.50/accessibility.dx.gz,b3d8c9cbd1933214bcca0a00ca6c6c06a367824eaf533cc036b05d7e6ebd9ce7,sampled_surface_vectors/af_271828_V2PMHC_059a1481886fcb83_m1__npbe_eps4_grid0.50.npz,d48355b4f77683c06865c978851f424ded0bddd321da45306a4fdeeeba5d6b99,complete,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps4_grid0.50/stderr.txt,raw_calculations/apbs/af_271828_V2PMHC_059a1481886fcb83_m1/npbe_eps4_grid0.50/stdout.txt,npbe_eps4_grid0.50
