layer,method,panel_seed,positive_pair_id,positive_rank,source
alphafold,full_structural_composite,271828,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,physicochemical_only,271828,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_identity,271828,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_identity,271828,PAIR_HY2E11_BALF5_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_blosum62,271828,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_blosum62,271828,PAIR_HY2E11_BALF5_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,structural_only,271828,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,frozen_exposed_ca,271828,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,random_ranking,271828,PAIR_HY2E11_BALF5_MBP,9,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_structural_composite,314159,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,physicochemical_only,314159,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_identity,314159,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_identity,314159,PAIR_HY2E11_BALF5_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_blosum62,314159,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_blosum62,314159,PAIR_HY2E11_BALF5_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,structural_only,314159,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,frozen_exposed_ca,314159,PAIR_HY2E11_BALF5_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,random_ranking,314159,PAIR_HY2E11_BALF5_MBP,19,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_structural_composite,271828,PAIR_OB1A12_ENGA_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,physicochemical_only,271828,PAIR_OB1A12_ENGA_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_identity,271828,PAIR_OB1A12_ENGA_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_identity,271828,PAIR_OB1A12_ENGA_MBP,4,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_blosum62,271828,PAIR_OB1A12_ENGA_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_blosum62,271828,PAIR_OB1A12_ENGA_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,structural_only,271828,PAIR_OB1A12_ENGA_MBP,7,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,frozen_exposed_ca,271828,PAIR_OB1A12_ENGA_MBP,7,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,random_ranking,271828,PAIR_OB1A12_ENGA_MBP,17,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_structural_composite,314159,PAIR_OB1A12_ENGA_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,physicochemical_only,314159,PAIR_OB1A12_ENGA_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_identity,314159,PAIR_OB1A12_ENGA_MBP,2,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_identity,314159,PAIR_OB1A12_ENGA_MBP,4,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_blosum62,314159,PAIR_OB1A12_ENGA_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_blosum62,314159,PAIR_OB1A12_ENGA_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,structural_only,314159,PAIR_OB1A12_ENGA_MBP,4,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,frozen_exposed_ca,314159,PAIR_OB1A12_ENGA_MBP,4,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,random_ranking,314159,PAIR_OB1A12_ENGA_MBP,26,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_structural_composite,271828,PAIR_HY1B11_PMM_MBP,13,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,physicochemical_only,271828,PAIR_HY1B11_PMM_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,tcr_facing_identity,271828,PAIR_HY1B11_PMM_MBP,1,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
alphafold,full_core_identity,271828,PAIR_HY1B11_PMM_MBP,3,processed/hla2_positive_control_benchmark_v2_results_2026-08-26/benchmark/method_rank_long.csv
