endpoint,layer,pair_id,rank,resampling_top3_fraction,sensitivity_top3,status
peptide,af_271828,PAIR_HY1B11_PMM_MBP,,0.0,False,missing
composite,af_271828,PAIR_HY1B11_PMM_MBP,,0.0,False,missing
shape,af_271828,PAIR_HY1B11_PMM_MBP,,0.0,False,missing
peptide,af_314159,PAIR_HY1B11_PMM_MBP,,0.0,False,missing
composite,af_314159,PAIR_HY1B11_PMM_MBP,,0.0,False,missing
shape,af_314159,PAIR_HY1B11_PMM_MBP,,0.0,False,missing
peptide,af_271828,PAIR_HY1B11_UL15_MBP,12,0.0,False,complete
composite,af_271828,PAIR_HY1B11_UL15_MBP,10,0.0,False,complete
shape,af_271828,PAIR_HY1B11_UL15_MBP,10,0.0,False,complete
peptide,af_314159,PAIR_HY1B11_UL15_MBP,3,0.869,False,complete
composite,af_314159,PAIR_HY1B11_UL15_MBP,2,0.922,False,complete
shape,af_314159,PAIR_HY1B11_UL15_MBP,6,0.0,False,complete
peptide,af_271828,PAIR_HY2E11_BALF5_MBP,,0.0,False,missing
composite,af_271828,PAIR_HY2E11_BALF5_MBP,,0.0,False,missing
shape,af_271828,PAIR_HY2E11_BALF5_MBP,,0.0,False,missing
peptide,af_314159,PAIR_HY2E11_BALF5_MBP,18,0.0,False,complete
composite,af_314159,PAIR_HY2E11_BALF5_MBP,6,0.028,False,complete
shape,af_314159,PAIR_HY2E11_BALF5_MBP,1,1.0,True,complete
peptide,af_271828,PAIR_OB1A12_ENGA_MBP,,0.0,False,missing
composite,af_271828,PAIR_OB1A12_ENGA_MBP,,0.0,False,missing
shape,af_271828,PAIR_OB1A12_ENGA_MBP,,0.0,False,missing
peptide,af_314159,PAIR_OB1A12_ENGA_MBP,1,1.0,True,complete
composite,af_314159,PAIR_OB1A12_ENGA_MBP,1,1.0,True,complete
shape,af_314159,PAIR_OB1A12_ENGA_MBP,10,0.186,False,complete
peptide,pdb,PAIR_HY2E11_BALF5_MBP,5,1.0,False,complete
composite,pdb,PAIR_HY2E11_BALF5_MBP,6,1.0,False,complete
shape,pdb,PAIR_HY2E11_BALF5_MBP,4,1.0,False,complete
peptide,pdb,PAIR_OB1A12_ENGA_MBP,6,1.0,False,complete
composite,pdb,PAIR_OB1A12_ENGA_MBP,6,1.0,False,complete
shape,pdb,PAIR_OB1A12_ENGA_MBP,5,1.0,False,complete
