complete_variant_count,expected_variant_count,model_key,status
6,6,af|271828|V2PMHC_059a1481886fcb83|m0,complete
6,6,af|271828|V2PMHC_059a1481886fcb83|m1,complete
6,6,af|271828|V2PMHC_059a1481886fcb83|m2,complete
6,6,af|271828|V2PMHC_059a1481886fcb83|m3,complete
6,6,af|271828|V2PMHC_059a1481886fcb83|m4,complete
6,6,af|271828|V2PMHC_09f27211b3e8bfb0|m0,complete
6,6,af|271828|V2PMHC_09f27211b3e8bfb0|m1,complete
6,6,af|271828|V2PMHC_09f27211b3e8bfb0|m2,complete
6,6,af|271828|V2PMHC_09f27211b3e8bfb0|m3,complete
6,6,af|271828|V2PMHC_09f27211b3e8bfb0|m4,complete
6,6,af|271828|V2PMHC_0c99052ea98ebd84|m0,complete
6,6,af|271828|V2PMHC_0c99052ea98ebd84|m1,complete
6,6,af|271828|V2PMHC_0c99052ea98ebd84|m2,complete
6,6,af|271828|V2PMHC_0c99052ea98ebd84|m3,complete
6,6,af|271828|V2PMHC_0c99052ea98ebd84|m4,complete
6,6,af|271828|V2PMHC_124e901945f0164d|m0,complete
6,6,af|271828|V2PMHC_124e901945f0164d|m1,complete
6,6,af|271828|V2PMHC_124e901945f0164d|m2,complete
6,6,af|271828|V2PMHC_124e901945f0164d|m3,complete
6,6,af|271828|V2PMHC_124e901945f0164d|m4,complete
6,6,af|271828|V2PMHC_22a556e2d6178849|m0,complete
6,6,af|271828|V2PMHC_22a556e2d6178849|m1,complete
6,6,af|271828|V2PMHC_22a556e2d6178849|m2,complete
6,6,af|271828|V2PMHC_22a556e2d6178849|m3,complete
6,6,af|271828|V2PMHC_22a556e2d6178849|m4,complete
6,6,af|271828|V2PMHC_2a45cfb5882821d2|m0,complete
6,6,af|271828|V2PMHC_2a45cfb5882821d2|m1,complete
6,6,af|271828|V2PMHC_2a45cfb5882821d2|m2,complete
6,6,af|271828|V2PMHC_2a45cfb5882821d2|m3,complete
6,6,af|271828|V2PMHC_2a45cfb5882821d2|m4,complete
6,6,af|271828|V2PMHC_32819024c05f813a|m0,complete
6,6,af|271828|V2PMHC_32819024c05f813a|m1,complete
6,6,af|271828|V2PMHC_32819024c05f813a|m2,complete
6,6,af|271828|V2PMHC_32819024c05f813a|m3,complete
6,6,af|271828|V2PMHC_32819024c05f813a|m4,complete
6,6,af|271828|V2PMHC_359f1f74d76d2644|m0,complete
6,6,af|271828|V2PMHC_359f1f74d76d2644|m1,complete
6,6,af|271828|V2PMHC_359f1f74d76d2644|m2,complete
6,6,af|271828|V2PMHC_359f1f74d76d2644|m3,complete
6,6,af|271828|V2PMHC_359f1f74d76d2644|m4,complete
6,6,af|271828|V2PMHC_368ebdaaab5ce03f|m0,complete
6,6,af|271828|V2PMHC_368ebdaaab5ce03f|m1,complete
6,6,af|271828|V2PMHC_368ebdaaab5ce03f|m2,complete
6,6,af|271828|V2PMHC_368ebdaaab5ce03f|m3,complete
6,6,af|271828|V2PMHC_368ebdaaab5ce03f|m4,complete
6,6,af|271828|V2PMHC_3f942ba88c8f100c|m0,complete
6,6,af|271828|V2PMHC_3f942ba88c8f100c|m1,complete
6,6,af|271828|V2PMHC_3f942ba88c8f100c|m2,complete
6,6,af|271828|V2PMHC_3f942ba88c8f100c|m3,complete
6,6,af|271828|V2PMHC_3f942ba88c8f100c|m4,complete
6,6,af|271828|V2PMHC_4ac3a4f6915c6008|m0,complete
6,6,af|271828|V2PMHC_4ac3a4f6915c6008|m1,complete
6,6,af|271828|V2PMHC_4ac3a4f6915c6008|m2,complete
6,6,af|271828|V2PMHC_4ac3a4f6915c6008|m3,complete
6,6,af|271828|V2PMHC_4ac3a4f6915c6008|m4,complete
6,6,af|271828|V2PMHC_51e2e413b5fb64d1|m0,complete
6,6,af|271828|V2PMHC_51e2e413b5fb64d1|m1,complete
6,6,af|271828|V2PMHC_51e2e413b5fb64d1|m2,complete
6,6,af|271828|V2PMHC_51e2e413b5fb64d1|m3,complete
6,6,af|271828|V2PMHC_51e2e413b5fb64d1|m4,complete
6,6,af|271828|V2PMHC_645c4f4577622a82|m0,complete
6,6,af|271828|V2PMHC_645c4f4577622a82|m1,complete
6,6,af|271828|V2PMHC_645c4f4577622a82|m2,complete
6,6,af|271828|V2PMHC_645c4f4577622a82|m3,complete
6,6,af|271828|V2PMHC_645c4f4577622a82|m4,complete
6,6,af|271828|V2PMHC_676127377944674e|m0,complete
6,6,af|271828|V2PMHC_676127377944674e|m1,complete
6,6,af|271828|V2PMHC_676127377944674e|m2,complete
6,6,af|271828|V2PMHC_676127377944674e|m3,complete
6,6,af|271828|V2PMHC_676127377944674e|m4,complete
6,6,af|271828|V2PMHC_6994aa7cfa54a87a|m0,complete
6,6,af|271828|V2PMHC_6994aa7cfa54a87a|m1,complete
6,6,af|271828|V2PMHC_6994aa7cfa54a87a|m2,complete
6,6,af|271828|V2PMHC_6994aa7cfa54a87a|m3,complete
6,6,af|271828|V2PMHC_6994aa7cfa54a87a|m4,complete
6,6,af|271828|V2PMHC_72450eddcda12fef|m0,complete
6,6,af|271828|V2PMHC_72450eddcda12fef|m1,complete
6,6,af|271828|V2PMHC_72450eddcda12fef|m2,complete
6,6,af|271828|V2PMHC_72450eddcda12fef|m3,complete
6,6,af|271828|V2PMHC_72450eddcda12fef|m4,complete
6,6,af|271828|V2PMHC_78fe769be3f606f3|m0,complete
6,6,af|271828|V2PMHC_78fe769be3f606f3|m1,complete
6,6,af|271828|V2PMHC_78fe769be3f606f3|m2,complete
6,6,af|271828|V2PMHC_78fe769be3f606f3|m3,complete
