density,layer,left_model_axis,matrix_index,metric_axis_order,offset_A,pair_id,panel_seed,positive_pair_id,right_model_axis,variant
coarse,alphafold,sample_index_0_to_4,0,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
coarse,alphafold,sample_index_0_to_4,1,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.5,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
coarse,alphafold,sample_index_0_to_4,2,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,1.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
fine,alphafold,sample_index_0_to_4,3,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
fine,alphafold,sample_index_0_to_4,4,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.5,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
fine,alphafold,sample_index_0_to_4,5,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,1.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,lpbe_eps4_grid0.50
coarse,alphafold,sample_index_0_to_4,6,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
coarse,alphafold,sample_index_0_to_4,7,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.5,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
coarse,alphafold,sample_index_0_to_4,8,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,1.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
fine,alphafold,sample_index_0_to_4,9,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
fine,alphafold,sample_index_0_to_4,10,peptide_hodgkin;composite_hodgkin;helix_hodgkin;surface_height_rmse_A;surface_normal_mean_dot,0.5,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,sample_index_0_to_4,npbe_eps2_grid0.50
