comparison_role,left_id,left_pmhc_id,negative_tier,pair_id,panel_seed,positive_pair_id,right_id,right_pmhc_id,selection_is_score_blind,system_id
positive,HY1B11_PMM,V2PMHC_a9689c9b7442faad,positive,s271828|HY1B11_PMM|HY1B11_MBP,271828,PAIR_HY1B11_PMM_MBP,HY1B11_MBP,V2PMHC_8fc08fae0f1ffde1,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_1bcd6d24071a,V2PMHC_32819024c05f813a,N3,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_1618754,V2PMHC_eb0af1b357b463a4,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_1bcd6d24071a,V2PMHC_32819024c05f813a,N3,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_175453,V2PMHC_4ac3a4f6915c6008,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_1bcd6d24071a,V2PMHC_32819024c05f813a,N3,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_186917,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_186917,V2PMHC_676127377944674e,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_1bcd6d24071a,V2PMHC_32819024c05f813a,N3,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2258538,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_2258538,V2PMHC_78fe769be3f606f3,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_1bcd6d24071a,V2PMHC_32819024c05f813a,N3,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2273188,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_2273188,V2PMHC_7db17c44e740d443,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_4720dbd64f7b,V2PMHC_9894a39c837e8dff,N3,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_1618754,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_1618754,V2PMHC_eb0af1b357b463a4,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_4720dbd64f7b,V2PMHC_9894a39c837e8dff,N3,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_175453,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_175453,V2PMHC_4ac3a4f6915c6008,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_4720dbd64f7b,V2PMHC_9894a39c837e8dff,N3,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_186917,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_186917,V2PMHC_676127377944674e,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_4720dbd64f7b,V2PMHC_9894a39c837e8dff,N3,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2258538,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_2258538,V2PMHC_78fe769be3f606f3,True,SYS_MICROBIAL_MBP_HY1B11
N3_pair_decoy,EBV_IEDB_4720dbd64f7b,V2PMHC_9894a39c837e8dff,N3,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2273188,271828,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_2273188,V2PMHC_7db17c44e740d443,True,SYS_MICROBIAL_MBP_HY1B11
