left_ligand_id,left_pdb_id,pair_id,pair_role,positive_pair_id,right_ligand_id,right_pdb_id,selection_is_score_blind,system_id
HY2E11_BALF5,1H15,PAIR_HY2E11_BALF5_MBP|pdb|positive,positive,PAIR_HY2E11_BALF5_MBP,HY2E11_MBP,1BX2,True,SYS_BALF5_MBP_HY2E11
HY2E11_BALF5,1H15,PAIR_HY2E11_BALF5_MBP|pdb|HY2E11_BALF5|OB1A12_ENGA,pdb_exact_hla_decoy,PAIR_HY2E11_BALF5_MBP,OB1A12_ENGA,2WBJ,True,SYS_BALF5_MBP_HY2E11
HY2E11_BALF5,1H15,PAIR_HY2E11_BALF5_MBP|pdb|HY2E11_BALF5|PDB_DR15_ALPHA3_5V4M,pdb_exact_hla_decoy,PAIR_HY2E11_BALF5_MBP,PDB_DR15_ALPHA3_5V4M,5V4M,True,SYS_BALF5_MBP_HY2E11
HY2E11_BALF5,1H15,PAIR_HY2E11_BALF5_MBP|pdb|HY2E11_BALF5|PDB_DR15_GDP_6CPO,pdb_exact_hla_decoy,PAIR_HY2E11_BALF5_MBP,PDB_DR15_GDP_6CPO,6CPO,True,SYS_BALF5_MBP_HY2E11
PDB_DRB5_MBP_ALT_1FV1,1FV1,PAIR_HY2E11_BALF5_MBP|pdb|PDB_DRB5_MBP_ALT_1FV1|HY2E11_MBP,pdb_exact_hla_decoy,PAIR_HY2E11_BALF5_MBP,HY2E11_MBP,1BX2,True,SYS_BALF5_MBP_HY2E11
PDB_DRB5_MBP_ALT_1FV1,1FV1,PAIR_HY2E11_BALF5_MBP|pdb|PDB_DRB5_MBP_ALT_1FV1|OB1A12_ENGA,pdb_exact_hla_decoy,PAIR_HY2E11_BALF5_MBP,OB1A12_ENGA,2WBJ,True,SYS_BALF5_MBP_HY2E11
PDB_DRB5_MBP_ALT_1FV1,1FV1,PAIR_HY2E11_BALF5_MBP|pdb|PDB_DRB5_MBP_ALT_1FV1|PDB_DR15_ALPHA3_5V4M,pdb_exact_hla_decoy,PAIR_HY2E11_BALF5_MBP,PDB_DR15_ALPHA3_5V4M,5V4M,True,SYS_BALF5_MBP_HY2E11
PDB_DRB5_MBP_ALT_1FV1,1FV1,PAIR_HY2E11_BALF5_MBP|pdb|PDB_DRB5_MBP_ALT_1FV1|PDB_DR15_GDP_6CPO,pdb_exact_hla_decoy,PAIR_HY2E11_BALF5_MBP,PDB_DR15_GDP_6CPO,6CPO,True,SYS_BALF5_MBP_HY2E11
OB1A12_ENGA,2WBJ,PAIR_OB1A12_ENGA_MBP|pdb|positive,positive,PAIR_OB1A12_ENGA_MBP,OB1A12_MBP,1YMM,True,SYS_ENGA_MBP_OB1A12
OB1A12_ENGA,2WBJ,PAIR_OB1A12_ENGA_MBP|pdb|OB1A12_ENGA|PDB_DR15_ALPHA3_5V4M,pdb_exact_hla_decoy,PAIR_OB1A12_ENGA_MBP,PDB_DR15_ALPHA3_5V4M,5V4M,True,SYS_ENGA_MBP_OB1A12
