positive_pair_id,panel_seed,endpoint,draw_count,top3_count,top3_fraction,seed
PAIR_HY1B11_UL15_MBP,271828,peptide,1000,0,0.0,271828
PAIR_HY1B11_UL15_MBP,271828,composite,1000,0,0.0,271828
PAIR_HY1B11_UL15_MBP,271828,shape,1000,0,0.0,271828
PAIR_HY1B11_UL15_MBP,314159,peptide,1000,869,0.869,271828
PAIR_HY1B11_UL15_MBP,314159,composite,1000,922,0.922,271828
PAIR_HY1B11_UL15_MBP,314159,shape,1000,0,0.0,271828
PAIR_HY2E11_BALF5_MBP,314159,peptide,1000,0,0.0,271828
PAIR_HY2E11_BALF5_MBP,314159,composite,1000,28,0.028,271828
PAIR_HY2E11_BALF5_MBP,314159,shape,1000,1000,1.0,271828
PAIR_OB1A12_ENGA_MBP,314159,peptide,1000,1000,1.0,271828
PAIR_OB1A12_ENGA_MBP,314159,composite,1000,1000,1.0,271828
PAIR_OB1A12_ENGA_MBP,314159,shape,1000,186,0.186,271828
