composite_point_count,density,helix_point_count,layer,offset_A,pair_id,pairwise_map_coverage,panel_seed,peptide_point_count,positive_pair_id,status,variant
4022,coarse,,alphafold,0.0,s271828|HY1B11_PMM|HY1B11_MBP,0.9987657368550975,271828,1285,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3700,coarse,,alphafold,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,0.993838735601393,271828,1163,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4102,coarse,,alphafold,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,0.9970831307729704,271828,1089,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4052,coarse,,alphafold,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_186917,0.991921664626683,271828,1276,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4057,coarse,,alphafold,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2258538,0.991943359375,271828,1272,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3647,coarse,,alphafold,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2273188,0.9913019842348464,271828,1125,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3718,coarse,,alphafold,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_1618754,0.9992755373098285,271828,1259,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4129,coarse,,alphafold,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_175453,0.9987925621830476,271828,1139,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4067,coarse,,alphafold,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_186917,0.995114802149487,271828,1386,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4069,coarse,,alphafold,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2258538,0.9951088285644412,271828,1323,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3659,coarse,,alphafold,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2273188,0.9945637401467791,271828,1209,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3676,coarse,,alphafold,0.0,s271828|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_1618754,0.986877343331548,271828,1093,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3838,coarse,,alphafold,0.0,s271828|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_175453,0.9997530864197531,271828,1006,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3780,coarse,,alphafold,0.0,s271828|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_186917,0.9827160493827161,271828,1290,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3778,coarse,,alphafold,0.0,s271828|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_2258538,0.9822222222222222,271828,1265,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3367,coarse,,alphafold,0.0,s271828|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_2273188,0.9151943462897526,271828,1117,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3714,coarse,,alphafold,0.0,s271828|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_1618754,0.998124832574337,271828,1272,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4124,coarse,,alphafold,0.0,s271828|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_175453,0.9978245105148659,271828,1133,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4066,coarse,,alphafold,0.0,s271828|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_186917,0.9953488372093023,271828,1362,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4070,coarse,,alphafold,0.0,s271828|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_2258538,0.9953533871362191,271828,1340,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3660,coarse,,alphafold,0.0,s271828|EBV_IEDB_bce490b86fd9|HUMAN_BACKGROUND_2273188,0.99483555313944,271828,1238,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3167,coarse,1816,alphafold,0.0,s271828|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_1618754,0.878502080443828,271828,1351,PAIR_HY1B11_PMM_MBP,not_evaluable_surface_qc,npbe_eps4_grid0.50
3575,coarse,,alphafold,0.0,s271828|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_175453,0.9916782246879334,271828,1191,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3587,coarse,,alphafold,0.0,s271828|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_186917,0.9896755162241888,271828,1340,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3581,coarse,,alphafold,0.0,s271828|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_2258538,0.9892557651991615,271828,1322,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3442,coarse,,alphafold,0.0,s271828|EBV_IEDB_d63c3a4aff32|HUMAN_BACKGROUND_2273188,0.9547850208044383,271828,1266,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4022,coarse,,alphafold,0.0,s314159|HY1B11_PMM|HY1B11_MBP,0.9987742093650405,314159,1301,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3713,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,0.9956289460903351,314159,1173,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4060,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,0.9941234084231146,314159,1208,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4053,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_186917,0.9909887968826108,314159,1282,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4106,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2258538,0.9970859640602234,314159,1112,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4105,coarse,,alphafold,0.0,s314159|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2273188,0.9968431277319086,314159,1080,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3728,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_1618754,0.9997582205029013,314159,1209,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4084,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_175453,0.9958927277120078,314159,1260,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4069,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_186917,0.9958404697822364,314159,1349,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4129,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2258538,0.999515855725006,314159,1139,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
4122,coarse,,alphafold,0.0,s314159|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2273188,0.9978213507625272,314159,1141,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
3709,coarse,,alphafold,0.0,s314159|EBV_IEDB_4fb29363e8e5|HUMAN_BACKGROUND_1618754,0.9949034334763949,314159,1167,PAIR_HY1B11_PMM_MBP,complete,npbe_eps4_grid0.50
