allele,analysis_class,ebv_allele,ebv_candidate_id,geometry_status,pair_id,panel_version,self_allele,self_candidate_id
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_IEDB_ee8aced45992,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_IEDB_ee8aced45992
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_IEDB_96777e34f994,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_IEDB_96777e34f994
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_ANO2_0079_0093,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_ANO2_0079_0093
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_ANO2_0104_0118,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_ANO2_0104_0118
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_ANO2_0129_0143,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_ANO2_0129_0143
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_ANO2_0154_0168,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_ANO2_0154_0168
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_CLDN11_0001_0015,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_CLDN11_0001_0015
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_CNP_0001_0015,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_CNP_0001_0015
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_CNTN2_0001_0015,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_CNTN2_0001_0015
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_IEDB_14af77cd2881,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_IEDB_14af77cd2881
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_MAG_0001_0015,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_MAG_0001_0015
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_MOBP_0001_0015,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_MOBP_0001_0015
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_IEDB_318db7c0f966,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_IEDB_318db7c0f966
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_CANON_TALDO1_0001_0015,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_CANON_TALDO1_0001_0015
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_IEDB_aeb860033719,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_IEDB_aeb860033719
HLA-DRB1*15:01,exploratory_within_allele,HLA-DRB1*15:01,EBV_IEDB_35bb9c18fac4,pending_models_and_resolved_registers,HLA-DRB1*15:01|EBV_IEDB_35bb9c18fac4|SELF_IEDB_8250d3b513c8,EBV_MS_TCELL_V2_80_2026-08-22,HLA-DRB1*15:01,SELF_IEDB_8250d3b513c8
