arm,candidate_id,display_index
EBV,EBV_IEDB_087fb937093d,1
EBV,EBV_IEDB_090bd09c6880,2
EBV,EBV_IEDB_0e2190f44775,3
EBV,EBV_IEDB_113a17cddf78,4
EBV,EBV_IEDB_156b80230e03,5
EBV,EBV_IEDB_1a9b8e312086,6
EBV,EBV_IEDB_1bcd6d24071a,7
EBV,EBV_IEDB_208debe4b103,8
EBV,EBV_IEDB_20e2104316fd,9
EBV,EBV_IEDB_2fbac9820d7d,10
EBV,EBV_IEDB_339d4044147d,11
EBV,EBV_IEDB_35bb9c18fac4,12
EBV,EBV_IEDB_41bd64a2bdc2,13
EBV,EBV_IEDB_4720dbd64f7b,14
EBV,EBV_IEDB_4fb29363e8e5,15
EBV,EBV_IEDB_537a6a60a0cc,16
EBV,EBV_IEDB_591605c50715,17
EBV,EBV_IEDB_5e7561364e47,18
EBV,EBV_IEDB_6565948db2a8,19
EBV,EBV_IEDB_6cbbb1951647,20
EBV,EBV_IEDB_6fb6893091a7,21
EBV,EBV_IEDB_73663fe4c7bb,22
EBV,EBV_IEDB_770af30bc486,23
EBV,EBV_IEDB_7d8ef86501fb,24
EBV,EBV_IEDB_80f55a753592,25
EBV,EBV_IEDB_81b4d6bacdc7,26
EBV,EBV_IEDB_82ce00ad1031,27
EBV,EBV_IEDB_8691a2187161,28
EBV,EBV_IEDB_8a7fb0afc47c,29
EBV,EBV_IEDB_91869932d81f,30
EBV,EBV_IEDB_93ce4ac0a53f,31
EBV,EBV_IEDB_99c3ed160286,32
EBV,EBV_IEDB_b376774c91bb,33
EBV,EBV_IEDB_baea1d9e0943,34
EBV,EBV_IEDB_bce490b86fd9,35
EBV,EBV_IEDB_bef86355da5a,36
EBV,EBV_IEDB_c617263cff31,37
EBV,EBV_IEDB_ce143ad82ead,38
EBV,EBV_IEDB_d63c3a4aff32,39
EBV,EBV_IEDB_ffe96a37c427,40
self,SELF_CANON_ANO2_0079_0093,1
self,SELF_CANON_ANO2_0104_0118,2
self,SELF_CANON_ANO2_0129_0143,3
self,SELF_CANON_ANO2_0154_0168,4
self,SELF_CANON_CLDN11_0001_0015,5
self,SELF_CANON_CLDN11_0065_0079,6
self,SELF_CANON_CLDN11_0129_0143,7
self,SELF_CANON_CLDN11_0193_0207,8
self,SELF_CANON_CNP_0001_0015,9
self,SELF_CANON_CNP_0136_0150,10
self,SELF_CANON_CNP_0272_0286,11
self,SELF_CANON_CNP_0407_0421,12
self,SELF_CANON_CNTN2_0001_0015,13
self,SELF_CANON_CNTN2_0343_0357,14
self,SELF_CANON_CNTN2_0684_0698,15
self,SELF_CANON_CRYAB_0001_0015,16
self,SELF_CANON_CRYAB_0054_0068,17
self,SELF_CANON_CRYAB_0108_0122,18
self,SELF_CANON_MAG_0001_0015,19
self,SELF_CANON_MAG_0205_0219,20
self,SELF_CANON_MAG_0408_0422,21
self,SELF_CANON_MAG_0612_0626,22
self,SELF_CANON_MOBP_0001_0015,23
self,SELF_CANON_TALDO1_0001_0015,24
self,SELF_CANON_TALDO1_0108_0122,25
self,SELF_CANON_TALDO1_0216_0230,26
self,SELF_CANON_TALDO1_0323_0337,27
self,SELF_IEDB_0a037819aeb2,28
self,SELF_IEDB_14af77cd2881,29
self,SELF_IEDB_18eebcfe8ed0,30
self,SELF_IEDB_318db7c0f966,31
self,SELF_IEDB_574a8cfa3673,32
self,SELF_IEDB_8250d3b513c8,33
self,SELF_IEDB_842d700c6a24,34
self,SELF_IEDB_96777e34f994,35
self,SELF_IEDB_aeb860033719,36
self,SELF_IEDB_b2bae269466c,37
self,SELF_IEDB_dbef0551bdc1,38
self,SELF_IEDB_e8f1f840deb4,39
self,SELF_IEDB_ee8aced45992,40
