seed_job	condition	reference	best_model	pMHC_CA_atoms	TCR_CA_atoms	all_CA_atoms	pMHC_CA_RMSD_A	TCR_placement_CA_RMSD_A	TCR_fold_CA_RMSD_A	whole_complex_CA_RMSD_A	best_ranking_score	best_iptm
CAL_1YMM_S101	CAL_1YMM	1YMM	0	374	342	716	29.191	84.495	17.445	43.618	0.750	0.710
CAL_1YMM_S202	CAL_1YMM	1YMM	0	374	342	716	15.024	42.341	26.100	28.870	0.800	0.760
CAL_1YMM_S303	CAL_1YMM	1YMM	0	374	342	716	11.088	44.648	21.844	31.226	0.680	0.630
CAL_1YMM_S404	CAL_1YMM	1YMM	0	374	342	716	39.386	109.751	40.664	65.082	0.720	0.680
CAL_1YMM_S505	CAL_1YMM	1YMM	0	374	342	716	20.777	33.426	12.180	20.401	0.730	0.690
CAL_1ZGL_S101	CAL_1ZGL	1ZGL	0	366	420	786	31.186	34.800	28.372	30.801	0.770	0.740
CAL_1ZGL_S202	CAL_1ZGL	1ZGL	0	366	420	786	38.622	117.698	42.052	67.373	0.790	0.760
CAL_1ZGL_S303	CAL_1ZGL	1ZGL	0	366	420	786	18.878	36.750	13.920	20.596	0.720	0.690
CAL_1ZGL_S404	CAL_1ZGL	1ZGL	0	366	420	786	38.483	76.469	33.207	50.010	0.760	0.730
CAL_1ZGL_S505	CAL_1ZGL	1ZGL	0	366	420	786	34.720	79.889	34.691	49.524	0.780	0.750
CAL_2WBJ_S101	CAL_2WBJ	2WBJ	0	371	439	810	25.683	44.683	29.844	39.036	0.740	0.690
CAL_2WBJ_S202	CAL_2WBJ	2WBJ	0	371	439	810	11.813	13.901	3.897	11.163	0.820	0.770
CAL_2WBJ_S303	CAL_2WBJ	2WBJ	0	371	439	810	38.530	98.067	41.018	63.521	0.760	0.700
CAL_2WBJ_S404	CAL_2WBJ	2WBJ	0	371	439	810	34.223	95.008	37.756	61.055	0.800	0.750
CAL_2WBJ_S505	CAL_2WBJ	2WBJ	0	371	439	810	17.155	21.334	17.737	23.270	0.740	0.690
