allele,carbo_similarity_iqr,carbo_similarity_max,carbo_similarity_median,carbo_similarity_min,carbo_similarity_q25,carbo_similarity_q75,claim_boundary,ebv_candidate_id,electrostatic_percentile,electrostatic_rank,hodgkin_similarity_iqr,hodgkin_similarity_max,hodgkin_similarity_median,hodgkin_similarity_min,hodgkin_similarity_q25,hodgkin_similarity_q75,model_combination_count,n3_is_not_specificity_negative,pair_id,panel_id,potential_mode,potential_rmse_iqr,potential_rmse_max,potential_rmse_median,potential_rmse_min,potential_rmse_q25,potential_rmse_q75,row_role,self_candidate_id,sign_agreement_fraction_iqr,sign_agreement_fraction_max,sign_agreement_fraction_median,sign_agreement_fraction_min,sign_agreement_fraction_q25,sign_agreement_fraction_q75,solute_dielectric
HLA-DRB1*03:01,0.27741131185553924,0.9412583196928227,0.783223475249524,0.12439081236554934,0.5769587222105049,0.8543700340660442,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_090bd09c6880,0.0,1,0.2777341211718727,0.8990750839099221,0.756135777792144,0.12437997121055382,0.5766262178077884,0.8543603389796611,25,True,HLA-DRB1*03:01|EBV_IEDB_090bd09c6880|SELF_IEDB_e8f1f840deb4,HY03_SEQ_01,full,0.22982986168612757,0.7497913030994083,0.47168995783787016,0.2583893956174549,0.36453832925759705,0.5943681909437246,n3,SELF_IEDB_e8f1f840deb4,0.19999999999999996,1.0,0.76,0.44,0.64,0.84,2.0
HLA-DRB1*03:01,0.32557921741017454,0.8925741504095245,0.7050380495100956,0.035112008441076314,0.4979694286951694,0.823548646105344,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_c617263cff31,0.04,2,0.3177480512344975,0.8831329160567291,0.6559812746738021,0.033676865365410355,0.4947564763414742,0.8125045275759717,25,True,HLA-DRB1*03:01|EBV_IEDB_c617263cff31|SELF_IEDB_e8f1f840deb4,HY03_SEQ_01,full,0.23982164393387934,0.8818111050386832,0.3860285551973458,0.25797336611463234,0.32407244558738585,0.5638940895212652,n3,SELF_IEDB_e8f1f840deb4,0.20000000000000007,0.92,0.76,0.6,0.6,0.8,2.0
HLA-DRB1*03:01,0.14748671304385264,0.7800607682156487,0.6665284582431987,0.059190889633156975,0.5670332215975548,0.7145199346414074,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_156b80230e03,0.08,3,0.20171536878167695,0.7288345465868665,0.6419293422748678,0.058461983068218246,0.48284082336318557,0.6845561921448625,25,True,HLA-DRB1*03:01|EBV_IEDB_156b80230e03|SELF_IEDB_e8f1f840deb4,HY03_SEQ_01,full,0.15783095418050508,0.727669243608961,0.46776099637428165,0.3645715600735206,0.40494685536184594,0.562777809542351,n3,SELF_IEDB_e8f1f840deb4,0.12,0.96,0.76,0.52,0.76,0.88,2.0
HLA-DRB1*03:01,0.38156388267985863,0.9394304724909149,0.7467738878772457,-0.48948926776291474,0.50581001487454,0.8873738975543987,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_c617263cff31,0.12,4,0.3523608826776153,0.9076307011017257,0.7233034367674225,-0.47103318831013463,0.4501631348681488,0.8025240175457641,25,True,HLA-DRB1*03:01|EBV_IEDB_c617263cff31|SELF_CANON_TALDO1_0108_0122,HY03_SEQ_01,full,0.2939789198149576,1.420146313916167,0.46338002260135314,0.23495497053477532,0.3295506346606314,0.623529554475589,n3,SELF_CANON_TALDO1_0108_0122,0.24,1.0,0.8,0.44,0.76,1.0,2.0
HLA-DRB1*03:01,0.08734248767781272,0.7033699204196746,0.5457736859484861,0.4419500394434094,0.5219884909157289,0.6093309785935416,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_087fb937093d,0.16,5,0.1515368326947829,0.6357374881491412,0.5050551231296875,0.2841328511455022,0.4030784272634801,0.554615259958263,25,True,HLA-DRB1*03:01|EBV_IEDB_087fb937093d|SELF_IEDB_0a037819aeb2,HY03_SEQ_01,full,0.16132572454627425,1.8911848140105572,1.4405880185705613,1.249611958463439,1.3874269692745171,1.5487526938207914,n3,SELF_IEDB_0a037819aeb2,0.040000000000000036,0.84,0.8,0.72,0.76,0.8,2.0
HLA-DRB1*03:01,0.45566664602310825,0.9577390116093442,0.594769664493903,-0.2487647266449975,0.37222650050072725,0.8278931465238355,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_090bd09c6880,0.2,6,0.3907842812936778,0.9194154289046269,0.5567305593520605,-0.24870022613498838,0.36166719228001176,0.7524514735736896,25,True,HLA-DRB1*03:01|EBV_IEDB_090bd09c6880|SELF_CANON_TALDO1_0108_0122,HY03_SEQ_01,full,0.34503330952271616,1.0553966020050898,0.587203169431353,0.27694844132771596,0.5203808733916718,0.865414182914388,n3,SELF_CANON_TALDO1_0108_0122,0.28,1.0,0.8,0.44,0.6,0.88,2.0
HLA-DRB1*03:01,0.32738879438489055,0.8476661040610695,0.5699592002474737,-0.34862133028127457,0.3823044988111106,0.7096932931960012,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_156b80230e03,0.24,7,0.3168474593458589,0.8366699883786501,0.4612113588960858,-0.34605251704064327,0.36125329770757375,0.6781007570534326,25,True,HLA-DRB1*03:01|EBV_IEDB_156b80230e03|SELF_CANON_TALDO1_0108_0122,HY03_SEQ_01,full,0.2613499637335697,1.0491199019983488,0.5756096725805937,0.23358469117130423,0.4863812966232924,0.7477312603568621,n3,SELF_CANON_TALDO1_0108_0122,0.15999999999999992,0.96,0.76,0.44,0.68,0.84,2.0
HLA-DRB1*03:01,0.5417509876526593,0.8476490044483384,0.12274982365080687,-0.4562535084825968,-0.0019426345309461717,0.5398083531217132,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_2fbac9820d7d,0.28,8,0.4353681918566335,0.8475194022680453,0.12067300290324416,-0.45145960955853615,-0.0016673079505341393,0.43370088390609934,25,True,HLA-DRB1*03:01|EBV_IEDB_2fbac9820d7d|SELF_IEDB_18eebcfe8ed0,HY03_SEQ_01,full,0.14241018623649848,1.1196947624123643,0.4439785342181588,0.1311181803260171,0.3833443015742314,0.5257544878107299,n3,SELF_IEDB_18eebcfe8ed0,0.28,0.96,0.48,0.16,0.36,0.64,2.0
HLA-DRB1*03:01,0.33706424777401434,0.33551067299137727,0.23406205219353146,-0.5337523338541018,-0.04315709068382635,0.293907157090188,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_087fb937093d,0.32,9,0.10166914758232047,0.101480679580496,0.06756132889291,-0.24871761818093405,-0.011534804271802201,0.09013434331051827,25,True,HLA-DRB1*03:01|EBV_IEDB_087fb937093d|SELF_IEDB_18eebcfe8ed0,HY03_SEQ_01,full,0.388098185481039,2.3319340653494773,1.7789426822189145,1.5646101661298029,1.6447534535368848,2.032851639017924,n3,SELF_IEDB_18eebcfe8ed0,0.28,0.8,0.48,0.32,0.48,0.76,2.0
HLA-DRB1*03:01,0.8624528773927262,0.8231975377186354,0.727024944297706,-0.2812799266362173,-0.08202522755533596,0.7804276498373903,"Descriptive, model-derived HLA-specific pMHC local-field resemblance only; not evidence of presentation, TCR recognition, activation, specificity, cross-reactivity, molecular mimicry, MS mechanism, probability, or false-discovery rate.",EBV_IEDB_087fb937093d,0.36,10,0.3952368455869015,0.44076054505513995,0.22804129624396646,-0.17840008823186806,-0.02489252510197681,0.37034432048492466,25,True,HLA-DRB1*03:01|EBV_IEDB_087fb937093d|SELF_CANON_CRYAB_0001_0015,HY03_SEQ_01,full,0.4435580383046922,2.286369957519252,1.6567783006157633,1.2764331237327007,1.4446927989946756,1.8882508372993678,n3,SELF_CANON_CRYAB_0001_0015,0.52,0.96,0.92,0.36,0.4,0.92,2.0
