pair_id,register_assessment,register_source,ebv_register_status,human_register_status,score_coverage_status,geometry_context_status,appendix_category,exclusion_reason
EBV_TCELL_119155::HUMAN_MYELIN_111192,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112037,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112191,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112214,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112226,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112319,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112354,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112393,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112603,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112756,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_112782,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_114366,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_114566,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
EBV_TCELL_119155::HUMAN_MYELIN_114765,no_same_register_local_alignment,EBV: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis | Human: IEDB recommended_binding HLA-DRB1*15:01 top-core hypothesis,iedb_top_core_hypothesis,iedb_top_core_hypothesis,excluded_nonprimary_register_status,whole_original_local_alignment_only,same_allele_hypothesis_no_matched_register,No aligned residue occupied the same P1-P9 index under the retained same-allele register hypotheses.
