allele,pair_id,declared_register_status,declared_register_registry_unique,all_fully_contained_window_pair_count,all_window_tcr_facing_blosum62_min,all_window_tcr_facing_blosum62_max,allowed_window_pair_count,allowed_window_evidence_tiers,declared_evidence_tier_before_register_gate,register_tier_stable_across_allowed_windows,register_robust,sensitivity_scope
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_ce143ad82ead|SELF_CANON_ANO2_0079_0093,iedb_resolved_unique_fully_contained,True,49,-0.44,0.590909090909,9,C;E;C;E;C;E;C;E;C,C,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_2fbac9820d7d|SELF_IEDB_18eebcfe8ed0,iedb_resolved_unique_fully_contained,True,49,-0.322580645161,0.484848484848,9,E;E;C;E;C;E;E;E;C,C,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_81b4d6bacdc7|SELF_CANON_CNP_0001_0015,iedb_resolved_unique_fully_contained,True,49,-0.379310344828,0.592592592593,9,C;E;E;E;C;E;E;C;C,C,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_41bd64a2bdc2|SELF_CANON_MOBP_0001_0015,iedb_resolved_unique_fully_contained,True,49,-0.5,0.416666666667,0,,M,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_bce490b86fd9|SELF_CANON_CRYAB_0001_0015,iedb_resolved_unique_fully_contained,True,42,-0.424242424242,0.411764705882,9,B;C;E;C;B;E;E;E;B,B,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_591605c50715|SELF_CANON_CLDN11_0193_0207,iedb_resolved_unique_fully_contained,True,21,-0.266666666667,0.392857142857,6,C;E;E;E;C;C,C,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_99c3ed160286|SELF_CANON_MAG_0612_0626,iedb_resolved_unique_fully_contained,True,35,-0.333333333333,0.391304347826,9,D;E;E;E;A;E;E;E;A,A,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_93ce4ac0a53f|SELF_IEDB_8250d3b513c8,iedb_resolved_unique_fully_contained,True,63,-0.424242424242,0.357142857143,9,B;C;C;E;B;C;E;E;D,B,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_93ce4ac0a53f|SELF_IEDB_aeb860033719,iedb_resolved_unique_fully_contained,True,42,-0.424242424242,0.357142857143,9,A;C;C;E;A;C;E;E;D,C,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
HLA-DRB1*15:01,HLA-DRB1*15:01|EBV_IEDB_93ce4ac0a53f|SELF_IEDB_e8f1f840deb4,iedb_resolved_unique_fully_contained,True,49,-0.424242424242,0.357142857143,9,C;C;C;E;C;C;E;E;E,C,False,False,all_windows_sequence_and_declared_plus_or_minus_one_surface_on_fixed_models
