lead_rank,pair_id,analysis_layer,entity_role,candidate_id,job_id,model_id,cluster_id,cluster_size,distinct_jobs_in_cluster,model_plddt,model_iptm,clustering_method_note,claim_boundary
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1|model-0,1,23,7,52.00677830687831,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1|model-1,1,23,7,51.99133025493025,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1|model-2,1,23,7,51.52907388167388,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1|model-3,1,23,7,52.00054761904762,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1|model-4,1,23,7,51.79911103896106,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0|model-0,1,23,7,51.446428908128915,0.93,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0|model-1,2,1,1,45.256843698893704,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0|model-2,1,23,7,51.22606673881673,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0|model-3,1,23,7,51.15404213564213,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,ebv,EBV_TCELL_950,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0|model-4,1,23,7,50.24851681096682,0.92,Complete linkage at 2.0 A; confidence annotations did not affect clustering.,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
