batch_folder,batch_file,seed_label,model_seed,candidate_id,expected_job_name,downloaded_job_directory,model_cif_count,summary_confidences_count,full_data_count,job_request_count,completeness_status,availability_interpretation,claim_boundary
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_10460,ebvms_bg_HUMAN_BACKGROUND_10460_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_10461,ebvms_bg_HUMAN_BACKGROUND_10461_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_108324,ebvms_bg_HUMAN_BACKGROUND_108324_s03,ebvms_bg_human_background_108324_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_108677,ebvms_bg_HUMAN_BACKGROUND_108677_s03,ebvms_bg_human_background_108677_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_115891,ebvms_bg_HUMAN_BACKGROUND_115891_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_118550,ebvms_bg_HUMAN_BACKGROUND_118550_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119732,ebvms_bg_HUMAN_BACKGROUND_119732_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119777,ebvms_bg_HUMAN_BACKGROUND_119777_s03,ebvms_bg_human_background_119777_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119780,ebvms_bg_HUMAN_BACKGROUND_119780_s03,,0,0,0,0,not_downloaded_or_failed_no_retry,No model result; exclude from structural summaries without retrying.,"Availability is a technical run-status field, not biological evidence."
json3folds,alphafold_server_seed_03_jobs.json,03,104761,HUMAN_BACKGROUND_119797,ebvms_bg_HUMAN_BACKGROUND_119797_s03,ebvms_bg_human_background_119797_s03,5,5,5,1,complete_five_sample_result,Eligible for later descriptive structural extraction.,"Availability is a technical run-status field, not biological evidence."
