arm_class,candidate_id,full_potential_kT_per_e,hla_normalized_potential_kT_per_e,hla_only_potential_kT_per_e,model_key,panel_id,point_index,sample_index,solute_dielectric
ebv,EBV_IEDB_090bd09c6880,-1.0303995101453889,0.11459839612286493,-1.1449979062682538,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.996066329825886,0.03102034486103067,-1.0270866746869167,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,1,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.0745746695623761,0.2333684190655847,-1.3079430886279608,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,2,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.075601069886322,0.07871186298591826,-1.1543129328722403,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,3,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.031081862118081,0.1630442018913425,-1.1941260640094236,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,4,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.9958699856355242,0.569720442042756,-1.5655904276782802,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,5,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.1770382664938746,0.2967712948237491,-1.4738095613176236,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,6,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.7677479308422307,0.5820321022753904,-1.349780033117621,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,7,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.1619217620105933,0.47160316849779305,-1.6335249305083863,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,8,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.7742960520669439,0.5894705980398821,-1.363766650106826,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,9,0,2.0
