comparison_role,composite_hodgkin,composite_hodgkin_left_marginals,composite_hodgkin_right_marginals,composite_point_count,composite_rank,density,height_rank,helix_hodgkin,helix_hodgkin_left_marginals,helix_hodgkin_right_marginals,helix_point_count,helix_rank,layer,left_id,left_ligand_id,left_pdb_id,left_pmhc_id,negative_tier,normal_rank,offset_A,pair_id,pair_role,pairwise_map_coverage,panel_seed,peptide_carbo,peptide_hodgkin,peptide_hodgkin_left_marginals,peptide_hodgkin_right_marginals,peptide_point_count,peptide_potential_rmse,peptide_rank,peptide_sign_agreement,positive_pair_id,right_id,right_ligand_id,right_pdb_id,right_pmhc_id,selection_is_score_blind,shape_rank,status,surface_height_rmse_A,surface_height_rmse_A_left_marginals,surface_height_rmse_A_right_marginals,surface_normal_mean_dot,surface_normal_mean_dot_left_marginals,surface_normal_mean_dot_right_marginals,system_id,variant
positive,-0.008368318293147237,-0.0083683183;-0.069759698;0.0099746768;0.090634077;-0.078025812,0.021481593;-0.0083683183;-0.02014435;0.03162587;-0.049399344,4022,18,coarse,10,0.03563041368916056,0.035630414;-0.015574272;0.052120242;0.16261256;-0.013314719,0.046064607;0.035125194;0.022930166;0.085972852;0.035630414,,15,alphafold,HY1B11_PMM,,,V2PMHC_a9689c9b7442faad,positive,22,0.0,s271828|HY1B11_PMM|HY1B11_MBP,,0.9987657368550975,271828,,-0.0902164420547867,-0.090216442;-0.1828467;-0.047003487;-0.027186761;-0.1879456,-0.018711677;-0.090216442;-0.098928717;-0.064330101;-0.19960898,1285,,17,,PAIR_HY1B11_PMM_MBP,HY1B11_MBP,,,V2PMHC_8fc08fae0f1ffde1,True,10,complete,3.7207637549536954,3.796906;4.0001169;3.3740372;3.6395428;3.7207638,3.6337186;3.8886975;3.8800569;3.6803428;3.7207638,0.6776422686875749,0.67532901;0.67733175;0.68064988;0.67764227;0.67808211,0.68272847;0.67764227;0.6714228;0.67733175;0.6779319,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.0606470850951248,0.060647085;0.050828907;0.073279848;0.074233632;0.042794001,0.11148147;0.05582385;0.060647085;0.034555279;0.32982172,3700,16,coarse,23,-0.011961382112295759,-0.011961382;-0.011287462;-0.029528336;0.041130412;-0.02523346,0.04630381;-0.029921579;-0.049772968;-0.011961382;0.27655072,,21,alphafold,EBV_IEDB_1bcd6d24071a,,,V2PMHC_32819024c05f813a,N3,24,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_1618754,,0.993838735601393,271828,,0.17375536793992477,0.17375537;0.1705447;0.22801046;0.18009854;0.16193326,0.18928203;0.13999185;0.17375537;0.079573558;0.42301868,1163,,10,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_1618754,,,V2PMHC_eb0af1b357b463a4,True,23,complete,5.096067256400317,5.1388241;5.0960673;5.0416337;5.1224452;5.0885982,5.0592695;5.2440639;5.1228921;5.0960673;3.5114358,0.6503851139163558,0.6414719;0.65763734;0.65762706;0.64748267;0.65038511,0.63633352;0.63994572;0.65038511;0.67634284;0.7179697,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.5458396636766742,0.50614587;0.55053236;0.54583966;0.53153212;0.56200408,0.54583966;0.55053236;0.54792919;0.47138314;0.53923786,4102,3,coarse,3,0.6944105257635856,0.6436438;0.73132911;0.69441053;0.66563383;0.72900842,0.70837816;0.72900842;0.67296955;0.57726199;0.71239799,,3,alphafold,EBV_IEDB_1bcd6d24071a,,,V2PMHC_32819024c05f813a,N3,4,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_175453,,0.9970831307729704,271828,,0.2711573996868299,0.23185;0.26577943;0.27485673;0.2711574;0.29422652,0.27485673;0.23109194;0.28902369;0.2878016;0.21157063,1089,,7,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_175453,,,V2PMHC_4ac3a4f6915c6008,True,3,complete,2.143864255444891,2.1386604;2.1346197;2.2707154;2.2001109;2.1438643,2.0998851;2.2592088;1.9944365;2.2532467;2.1438643,0.8273853160327514,0.82459839;0.82738532;0.83136852;0.83044272;0.8263614,0.82906173;0.82373321;0.83168556;0.81479715;0.8325679,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.2759106171536624,0.24567284;0.28590496;0.27485175;0.2845827;0.27591062,0.24950457;0.26989151;0.2845827;0.27591062;0.32173562,4052,7,coarse,9,0.2286638782081237,0.21573642;0.25466283;0.22313811;0.23339296;0.22866388,0.20686021;0.22866388;0.23339296;0.22686925;0.34857082,,8,alphafold,EBV_IEDB_1bcd6d24071a,,,V2PMHC_32819024c05f813a,N3,17,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_186917,,0.991921664626683,271828,,0.3341698241407041,0.28431283;0.3276935;0.33739647;0.34670463;0.3357305,0.33077846;0.33416982;0.35484249;0.33739647;0.3049891,1276,,5,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_186917,,,V2PMHC_676127377944674e,True,9,complete,3.693335561833753,3.7631262;3.7625602;3.6933356;3.6315033;3.6280663,3.6368449;3.7533712;3.9010541;3.6933356;2.9428327,0.6871667248696425,0.68256347;0.68879979;0.69664913;0.68716672;0.68487597,0.61459172;0.68716672;0.71681091;0.60737071;0.73415657,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.18040034543670977,0.14694871;0.2058639;0.18040035;0.20306448;0.19864794,0.17310848;0.15606204;0.18040035;0.21268271;0.21320837,4057,10,coarse,13,0.21928475706739192,0.2031366;0.24445461;0.22345513;0.24840893;0.21461316,0.21226787;0.21250756;0.21928476;0.24445461;0.22345513,,10,alphafold,EBV_IEDB_1bcd6d24071a,,,V2PMHC_32819024c05f813a,N3,21,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2258538,,0.991943359375,271828,,0.12257814811393324,0.060286443;0.12257815;0.10385719;0.12836734;0.16442526,0.092212309;0.059533897;0.12257815;0.17745489;0.15999229,1272,,13,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_2258538,,,V2PMHC_78fe769be3f606f3,True,13,complete,3.852198871368653,3.8540275;3.8521989;3.8688225;3.7191705;3.742554,3.8521989;3.9234939;3.7605907;2.6494424;3.8775741,0.6780581734755218,0.67593869;0.68014707;0.68822771;0.67805817;0.67654863,0.59061387;0.59064586;0.67805817;0.73243706;0.68100475,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.4874269262254281,0.44988575;0.48742693;0.48966616;0.51273606;0.48216391,0.67287464;0.16784045;0.35454819;0.48742693;0.63371569,3647,4,coarse,6,0.4597447973692978,0.43257468;0.48836509;0.4597448;0.50913223;0.44126293,0.74761084;-0.0023764475;0.31823494;0.4597448;0.69335298,,4,alphafold,EBV_IEDB_1bcd6d24071a,,,V2PMHC_32819024c05f813a,N3,18,0.0,s271828|EBV_IEDB_1bcd6d24071a|HUMAN_BACKGROUND_2273188,,0.9913019842348464,271828,,0.5172192008777298,0.47091963;0.48627667;0.52739768;0.5172192;0.53172862,0.55467473;0.3507604;0.45495991;0.5172192;0.54719944,1125,,1,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_2273188,,,V2PMHC_7db17c44e740d443,True,6,complete,2.6149430641933034,2.7121283;2.5429545;2.6149431;2.6063569;2.6495292,2.0126884;5.7517301;2.8128774;2.6149431;2.2451479,0.6852236266886296,0.68522363;0.68493022;0.6954513;0.69039155;0.67856046,0.8131495;0.6228229;0.65948827;0.68522363;0.83616778,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.06718072795948375,0.066176262;0.086540241;0.05752576;0.097815116;0.067180728,0.10889517;0.066914573;0.067180728;0.045457964;0.24514093,3718,14,coarse,22,-0.03569107311271652,-0.046949754;-0.020973497;-0.058488959;0.019517143;-0.035691073,0.023060612;-0.044062737;-0.046949754;-0.035691073;0.2323945,,25,alphafold,EBV_IEDB_4720dbd64f7b,,,V2PMHC_9894a39c837e8dff,N3,15,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_1618754,,0.9992755373098285,271828,,0.22123399101750557,0.21494774;0.24311915;0.22123399;0.21731474;0.2315984,0.22632636;0.2162875;0.2503868;0.16597265;0.25387276,1259,,8,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_1618754,,,V2PMHC_eb0af1b357b463a4,True,22,complete,5.08033850692618,5.0635943;5.0803385;5.0392731;5.133145;5.1194358,5.018732;5.1904117;5.0974448;5.0803385;3.3985748,0.7367166540302947,0.74020324;0.74095746;0.63327793;0.73301665;0.73671665,0.73034137;0.73439382;0.73671665;0.77759291;0.79675719,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.6400720934425655,0.64007209;0.63184012;0.64106563;0.55217843;0.64670263,0.69856993;0.62294949;0.64007209;0.5849711;0.68426123,4129,1,coarse,1,0.7355276337241881,0.73738531;0.75452846;0.73906868;0.63675893;0.75217928,0.81804081;0.73140262;0.73552763;0.64387693;0.82085147,,1,alphafold,EBV_IEDB_4720dbd64f7b,,,V2PMHC_9894a39c837e8dff,N3,2,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_175453,,0.9987925621830476,271828,,0.40309034019691314,0.419337;0.39754654;0.41056925;0.35413755;0.40309034,0.40309034;0.36718501;0.40840029;0.41847193;0.39141933,1139,,2,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_175453,,,V2PMHC_4ac3a4f6915c6008,True,1,complete,1.6776512357117823,1.6703798;1.7139662;1.6776512;1.7689705;1.6165559,1.6776512;2.0450652;1.7423759;1.5928876;1.4149789,0.9018829296411319,0.90673673;0.90188293;0.83976005;0.90173008;0.90599712,0.90188293;0.88531538;0.89677684;0.90599712;0.91734959,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.19328348927333874,0.19293144;0.19931969;0.19328349;0.17088577;0.20396743,0.1759721;0.19684324;0.18402023;0.19931969;0.25859733,4067,9,coarse,7,0.20816788950957849,0.20367297;0.21735966;0.20816789;0.18538953;0.22694744,0.1867056;0.20816789;0.20312849;0.2185697;0.30669871,,12,alphafold,EBV_IEDB_4720dbd64f7b,,,V2PMHC_9894a39c837e8dff,N3,11,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_186917,,0.995114802149487,271828,,0.16529551811773743,0.17293087;0.17005349;0.16529552;0.13511275;0.16524691,0.16037336;0.16790792;0.14446695;0.16529552;0.1895358,1386,,12,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_186917,,,V2PMHC_676127377944674e,True,7,complete,3.5296587258240515,3.5367093;3.5344569;3.4843716;3.5296587;3.4472867,3.4122547;3.5421626;3.6092418;3.5296587;2.8336637,0.7759142319860498,0.77800136;0.77591423;0.67470033;0.77356037;0.7805727,0.68709865;0.77591423;0.81660871;0.67013664;0.83847046,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
N3_pair_decoy,0.13372328237478093,0.12706217;0.13372328;0.13729312;0.12347013;0.14127974,0.12373303;0.06290249;0.13729312;0.16776079;0.13372328,4069,12,coarse,8,0.20913028269941503,0.19507567;0.209118;0.20913028;0.2191718;0.22733872,0.20913028;0.13962223;0.22211874;0.23101643;0.20589833,,11,alphafold,EBV_IEDB_4720dbd64f7b,,,V2PMHC_9894a39c837e8dff,N3,9,0.0,s271828|EBV_IEDB_4720dbd64f7b|HUMAN_BACKGROUND_2258538,,0.9951088285644412,271828,,-0.03388176257020539,-0.013847344;-0.033881763;-0.014672767;-0.051058453;-0.044307736,-0.033881763;-0.097777896;-0.041402469;0.030812283;0.0070669032,1323,,16,,PAIR_HY1B11_PMM_MBP,HUMAN_BACKGROUND_2258538,,,V2PMHC_78fe769be3f606f3,True,8,complete,3.583874747021934,3.6424356;3.6605518;3.5838747;3.5789865;3.508984,3.5838747;3.6489318;3.5110016;2.5113831;3.6227049,0.7796393399560874,0.78080326;0.77826292;0.67913689;0.77963934;0.78866603,0.6783912;0.6761503;0.78127333;0.83416919;0.77975875,SYS_MICROBIAL_MBP_HY1B11,npbe_eps4_grid0.50
