arm_class,candidate_id,full_potential_kT_per_e,hla_normalized_potential_kT_per_e,hla_only_potential_kT_per_e,model_key,panel_id,point_index,sample_index,solute_dielectric
ebv,EBV_IEDB_090bd09c6880,-0.967333862195666,0.5728673058376361,-1.540201168033302,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,0,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.3948691369223404,1.1737493777711512,-1.5686185146934917,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,1,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.8880780674571249,0.500259981076353,-1.388338048533478,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,2,0,2.0
ebv,EBV_IEDB_090bd09c6880,-3.715648587213871,-1.4462935924364468,-2.2693549947774243,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,3,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.0918264825816673,0.3486238128637933,-1.4404502954454605,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,4,0,2.0
ebv,EBV_IEDB_090bd09c6880,-79.0978443639382,-77.43395923197245,-1.6638851319657386,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,5,0,2.0
ebv,EBV_IEDB_090bd09c6880,-7.696757350959846,-4.2019899171407555,-3.494767433819091,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,6,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.6089217476093862,0.014181177416541013,-1.6231029250259272,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,7,0,2.0
ebv,EBV_IEDB_090bd09c6880,-3.0083584966023964,-1.0058365984177442,-2.002521898184652,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,8,0,2.0
ebv,EBV_IEDB_090bd09c6880,-3.2172199677988407,-1.3924361965098226,-1.824783771289018,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,9,0,2.0
ebv,EBV_IEDB_090bd09c6880,-3.462860254725029,-1.0402729156895143,-2.422587339035515,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,10,0,2.0
ebv,EBV_IEDB_090bd09c6880,-19.66795216175921,-17.95758036939663,-1.7103717923625812,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,11,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.7137629967459582,-0.4837485897345877,-1.2300144070113705,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,12,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.5659757736337432,-0.5145012882827673,-1.0514744853509759,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,13,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.674932614494796,-0.25627731006963517,-1.4186553044251609,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,14,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.5814120993528767,0.6379638349496536,-1.2193759343025303,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,15,0,2.0
ebv,EBV_IEDB_090bd09c6880,-2.2686191338057116,-0.768746303432047,-1.4998728303736646,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,16,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.9105372975952059,0.4065183353506979,-1.3170556329459038,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,17,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.9272095299146292,-0.4807309586114361,-1.4464785713031931,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,18,0,2.0
ebv,EBV_IEDB_090bd09c6880,-2.4868729424932696,-0.6030629582542177,-1.8838099842390519,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,19,0,2.0
ebv,EBV_IEDB_090bd09c6880,8.943619987583599,10.7451539805659,-1.8015339929823015,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,20,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.8840310309432304,0.1955820410706468,-2.0796130720138772,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,21,0,2.0
ebv,EBV_IEDB_090bd09c6880,-2.098062572998044,-0.42809841806897486,-1.6699641549290694,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,22,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.7726023174492456,-0.296916022917475,-1.4756862945317706,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,23,0,2.0
ebv,EBV_IEDB_090bd09c6880,1.556134099631099,3.4422937743340722,-1.8861596747029732,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,24,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.9064794860620118,0.9983173739025566,-1.9047968599645684,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,25,0,2.0
ebv,EBV_IEDB_090bd09c6880,3.746696619309456,5.7836125819290825,-2.0369159626196267,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,26,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.21246812837176232,1.356510687998982,-1.568978816370744,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,27,0,2.0
ebv,EBV_IEDB_090bd09c6880,3.068340735199218,4.994915597634521,-1.9265748624353034,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,28,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.672944981165118,-0.3507760338615791,-1.322168947303539,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,29,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.755597248222417,1.1964687542678734,-1.9520660024902905,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,30,0,2.0
ebv,EBV_IEDB_090bd09c6880,-87.19213528500826,-86.48158707179644,-0.7105482132118174,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,31,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.441708369793911,0.8284532539885587,-1.2701616237824698,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,32,0,2.0
ebv,EBV_IEDB_090bd09c6880,-2.4788919575291675,-0.5174956431403654,-1.961396314388802,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,33,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.7806859845646945,0.5847916341383035,-1.365477618702998,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,34,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.5932652966075387,-0.41842723434690043,-1.1748380622606382,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,35,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.43247039843299223,1.1138814606650118,-1.546351859098004,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,36,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.5320061438691945,-0.4599098033749789,-1.0720963404942156,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,37,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.5225144798963355,-0.4155669193255187,-1.1069475605708168,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,38,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.24953723525363616,1.0631747566689709,-1.3127119919226071,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,39,0,2.0
ebv,EBV_IEDB_090bd09c6880,-3.0766451620512845,-2.578059417109424,-0.49858574494186025,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,40,0,2.0
ebv,EBV_IEDB_090bd09c6880,0.478207991434992,2.2537013869038374,-1.7754933954688452,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,41,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.31869004760693254,1.0963591998450242,-1.4150492474519567,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,42,0,2.0
ebv,EBV_IEDB_090bd09c6880,0.17081679047703213,1.7857793358110483,-1.6149625453340162,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,43,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.0730522210669413,0.6672496166414843,-1.7403018377084256,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,44,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.3946850405142879,-0.4212421599312839,-0.973442880583004,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,45,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.6937476682377173,-0.3274102854350698,-1.3663373828026475,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,46,0,2.0
ebv,EBV_IEDB_090bd09c6880,0.6864489180718074,0.9989064052429082,-0.31245748717110083,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,47,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.043873270005376615,1.4502177827184064,-1.494091052723783,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,48,0,2.0
ebv,EBV_IEDB_090bd09c6880,-0.3312155362887792,1.2203620970663502,-1.5515776333551294,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,49,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.8916008839856904,-0.3865384046302278,-1.5050624793554626,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,50,0,2.0
ebv,EBV_IEDB_090bd09c6880,-58.10728648950988,-57.54505108994149,-0.5622353995683971,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,51,0,2.0
ebv,EBV_IEDB_090bd09c6880,-12.523511800350928,-11.747242129246969,-0.7762696711039586,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,52,0,2.0
ebv,EBV_IEDB_090bd09c6880,-2.0378360606555024,-0.36485806569353363,-1.6729779949619688,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,53,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.8025916458439,-0.3459142044392227,-1.4566774414046773,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,54,0,2.0
ebv,EBV_IEDB_090bd09c6880,-1.530322595085103,-0.35756357827678253,-1.1727590168083204,HY13_SEQ_02__ebv__EBV_IEDB_090bd09c6880__s0,HY13_SEQ_02,55,0,2.0
