lead_rank,pair_id,analysis_layer,ebv_job_id,comparison_candidate_id,comparison_job_id,entity_role,technical_comparison_count,exposed_rmsd_median_A,below_2_A_fraction,relative_to_equal_weight_background_median,claim_boundary
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3,target,25,0.4271774453820816,1.0,below_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5,target,25,0.8207346422978422,1.0,below_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1405882626|sig-10d20e819a2051c3,target,25,0.45951350609377956,0.8,below_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,HUMAN_MYELIN_112214,HUMAN_MYELIN_112214|seed-1|sig-519f712649e679a5,target,25,0.8636507783737674,0.8,below_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,HUMAN_BACKGROUND_115891,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12,control,25,3.762410444736436,0.4,below_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,HUMAN_BACKGROUND_115891,HUMAN_BACKGROUND_115891|seed-1224417544|sig-17e36fee3e460d12,control,25,3.9260684682902167,0.32,below_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1,control,25,9.317480346030527,0.0,above_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-2|sig-d44df16e5be1d5e1,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b,control,25,6.50306042446687,0.2,below_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-125659505|sig-82dd781b0a455ed1,control,25,9.426044583549883,0.0,above_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
1,EBV_TCELL_950::HUMAN_MYELIN_112214,strict_primary_controls,EBV_TCELL_950|seed-849625969|sig-e5a9c73d8e37dfc0,HUMAN_BACKGROUND_118550,HUMAN_BACKGROUND_118550|seed-2101104724|sig-11d49bc2aa776d3b,control,25,6.6089937634629505,0.16,below_equal_weight_background_median,"Descriptive computational pMHC geometry and technical stability only; not evidence of presentation, TCR binding, activation, cross-reactivity, molecular mimicry, or MS mechanism."
