arm_class,candidate_id,full_potential_kT_per_e,hla_normalized_potential_kT_per_e,hla_only_potential_kT_per_e,model_key,panel_id,point_index,sample_index,solute_dielectric
ebv,EBV_IEDB_087fb937093d,-1.8228588457313966,-1.4072637667722716,-0.41559507895912495,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,0,0,2.0
ebv,EBV_IEDB_087fb937093d,-1.5043166163070656,-1.104281982765754,-0.40003463354131175,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,1,0,2.0
ebv,EBV_IEDB_087fb937093d,-2.4648616174126454,-1.9996403450736844,-0.4652212723389611,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,2,0,2.0
ebv,EBV_IEDB_087fb937093d,-1.664037202793976,-1.3104898742184061,-0.35354732857556986,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,3,0,2.0
ebv,EBV_IEDB_087fb937093d,-2.2144393309672177,-1.6876705830126144,-0.5267687479546032,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,4,0,2.0
ebv,EBV_IEDB_087fb937093d,-1.6493142962674865,-1.2833111386900673,-0.3660031575774193,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,5,0,2.0
ebv,EBV_IEDB_087fb937093d,-2.8016674198849127,-2.269003330771291,-0.5326640891136216,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,6,0,2.0
ebv,EBV_IEDB_087fb937093d,-1.3690810611035302,-1.0416312825546503,-0.3274497785488799,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,7,0,2.0
ebv,EBV_IEDB_087fb937093d,-1.737750808391922,-1.4105887772693197,-0.32716203112260217,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,8,0,2.0
ebv,EBV_IEDB_087fb937093d,-1.8632349264188934,-1.4167445356060282,-0.44649039081286523,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,9,0,2.0
ebv,EBV_IEDB_087fb937093d,-2.0326558272181474,-1.4165640069336447,-0.6160918202845027,HY03_SEQ_01__ebv__EBV_IEDB_087fb937093d__s0,HY03_SEQ_01,10,0,2.0
