ebv_candidate_id,human_candidate_id,locally_aligned_residues,property_similarity,ebv_peptide_mean_plddt,human_peptide_mean_plddt,hla_groove_ca_rmsd_after_fit,local_peptide_ca_rmsd_after_hla_fit,review_priority_heuristic,interpretation
EBV_TCELL_63843,HUMAN_MYELIN_80095,6,0.8431,82.88,89.47,0.179,0.332,0.65387,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_13572,6,0.8431,82.88,93.82,0.168,0.37,0.64892,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_114806,6,0.8431,82.88,95.63,0.174,0.381,0.647494,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_2268683,HUMAN_MYELIN_115641,5,0.8428,91.36,60.71,0.197,1.26,0.397688,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_13573,6,0.8431,82.88,83.51,0.292,9.48,0.104932,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_111192,6,0.8431,82.88,80.11,0.271,9.471,0.101607,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_112393,6,0.8431,82.88,80.56,0.26,9.664,0.098309,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_45514,6,0.8431,82.88,81.87,0.242,9.762,0.097969,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_2268933,HUMAN_MYELIN_5516,5,0.9983,93.45,66.29,0.312,9.568,0.097643,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_114925,6,0.8431,82.88,76.14,0.284,9.488,0.096244,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_116170,6,0.8431,82.88,75.05,0.262,9.534,0.093998,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_1862913,HUMAN_MYELIN_112319,7,0.8976,64.26,54.31,0.178,8.668,0.086113,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_1392779,HUMAN_MYELIN_117035,6,0.8926,70.92,58.92,0.183,9.22,0.083192,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_112603,6,0.9213,82.88,58.57,0.215,9.394,0.082437,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_1392779,HUMAN_MYELIN_117117,5,0.7422,70.92,46.1,0.165,8.683,0.06026,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_119155,HUMAN_MYELIN_116976,5,0.8806,50.82,60.33,0.183,10.343,0.05655,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_119155,HUMAN_MYELIN_116995,8,0.8653,50.82,78.04,0.164,10.482,0.054044,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_63843,HUMAN_MYELIN_114765,6,0.8431,82.88,51.81,0.159,10.603,0.0524,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_2268683,HUMAN_MYELIN_117117,5,0.8944,91.36,46.1,0.214,10.4,0.051511,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_119155,HUMAN_MYELIN_67907,5,0.8806,50.82,66.07,0.198,10.883,0.050761,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_119155,HUMAN_MYELIN_112037,5,0.8806,50.82,36.46,0.161,13.819,0.020244,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_1862913,HUMAN_MYELIN_117032,5,0.9256,64.26,47.35,0.317,17.046,0.014493,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_149795,HUMAN_MYELIN_117032,5,0.865,35.46,47.35,0.34,16.339,0.011683,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_950,HUMAN_MYELIN_112214,5,0.9594,84.66,47.81,0.212,18.895,0.010479,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_119155,HUMAN_MYELIN_117032,6,0.9338,50.82,47.35,0.326,19.619,0.00874,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_149795,HUMAN_MYELIN_40762,6,0.844,35.46,57.74,0.2,18.613,0.007234,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_1862913,HUMAN_MYELIN_112037,7,0.8976,64.26,36.46,0.132,20.217,0.005739,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_2268741,HUMAN_MYELIN_117032,5,0.9256,87.65,47.35,0.207,21.961,0.005423,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_2268934,HUMAN_MYELIN_112226,5,0.915,83.57,53.6,0.231,24.291,0.003808,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_2268683,HUMAN_MYELIN_112214,5,0.8428,91.36,47.81,0.211,24.463,0.003023,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_149795,HUMAN_MYELIN_116079,5,0.8361,35.46,34.01,0.147,25.259,0.001819,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
EBV_TCELL_950,HUMAN_MYELIN_114366,5,0.9594,84.66,29.02,0.219,26.062,0.001517,hypothesis-ranking metric only; not evidence of TCR cross-reactivity
