allele,carbo_similarity,ebv_sample_index,hodgkin_similarity,pair_id,panel_id,potential_mode,potential_rmse,row_role,self_sample_index,sign_agreement_fraction,solute_dielectric
HLA-DRB1*03:01,0.4075648131029866,0,0.4048463047301992,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0018032665170038,target,0,0.4,2.0
HLA-DRB1*03:01,0.05623950148776487,0,0.04859221358188331,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.090946906582982,target,1,0.4,2.0
HLA-DRB1*03:01,0.5243910072272286,0,0.5159304096554576,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0529870987625425,target,2,0.4,2.0
HLA-DRB1*03:01,0.25632189712377634,0,0.24568867668907113,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0507089330357051,target,3,0.4,2.0
HLA-DRB1*03:01,-0.9250420783931828,0,-0.8414334567162043,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.564213460030492,target,4,0.08,2.0
HLA-DRB1*03:01,-0.3582681528500289,1,-0.35353083247851674,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.5523785348112606,target,0,0.16,2.0
HLA-DRB1*03:01,-0.5854166662875598,1,-0.49339796790876395,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.417303922808283,target,1,0.16,2.0
HLA-DRB1*03:01,-0.27386490422653575,1,-0.2714549897421187,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.7412668815544283,target,2,0.16,2.0
HLA-DRB1*03:01,-0.4046669302749891,1,-0.3822454178590926,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.467356341817017,target,3,0.16,2.0
HLA-DRB1*03:01,-0.6989276962427892,1,-0.6227021041584908,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.5195009620204187,target,4,0.32,2.0
HLA-DRB1*03:01,-0.09653978932143163,2,-0.09428855355007949,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.1593006939285129,target,0,0.24,2.0
HLA-DRB1*03:01,-0.31526981923595804,2,-0.30779065212117196,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0182568292723322,target,1,0.24,2.0
HLA-DRB1*03:01,-0.0062911915476226675,2,-0.00554073313882745,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.3574118086622142,target,2,0.24,2.0
HLA-DRB1*03:01,-0.12923223965054734,2,-0.12912498848776244,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0654914775362494,target,3,0.24,2.0
HLA-DRB1*03:01,-0.7550740812715724,2,-0.7506702132876837,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.2345576217500094,target,4,0.24,2.0
HLA-DRB1*03:01,-0.039169537574382726,3,-0.03893666862428271,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.1822689282634147,target,0,0.36,2.0
HLA-DRB1*03:01,-0.3088689313060657,3,-0.2928949879858803,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0846957302256568,target,1,0.36,2.0
HLA-DRB1*03:01,0.06487814727677388,3,0.059875417908455,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.3538390215385534,target,2,0.36,2.0
HLA-DRB1*03:01,-0.11889651887589552,3,-0.11862198867857601,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.1206313286157092,target,3,0.36,2.0
HLA-DRB1*03:01,-0.830747514483406,3,-0.811557087564372,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.337705260474746,target,4,0.12,2.0
HLA-DRB1*03:01,0.4268265309239611,4,0.4266846699594898,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.9131324027228397,target,0,0.4,2.0
HLA-DRB1*03:01,0.11447744364818417,4,0.10539147056178569,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.9547876435443441,target,1,0.4,2.0
HLA-DRB1*03:01,0.5394828029999499,4,0.5126004814527994,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.001680246908303,target,2,0.4,2.0
HLA-DRB1*03:01,0.3070777972182426,4,0.3035848809944089,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.9261369890128475,target,3,0.4,2.0
HLA-DRB1*03:01,-0.8844641601506975,4,-0.845962254011507,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.422896631644684,target,4,0.08,2.0
HLA-DRB1*03:01,0.2102533548039782,0,0.1355816778703888,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.0597349669684852,target,0,0.72,2.0
HLA-DRB1*03:01,0.5200083371756773,0,0.2527272583283417,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,0.9560545467722784,target,1,0.68,2.0
HLA-DRB1*03:01,0.15240471864933086,0,0.12932542394483013,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.1424419418345964,target,2,0.76,2.0
HLA-DRB1*03:01,0.037629400204071864,0,0.027824324877888874,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.1540294623195935,target,3,0.56,2.0
HLA-DRB1*03:01,0.03334610982339225,0,0.03284633582525678,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.3750459745555472,target,4,0.4,2.0
HLA-DRB1*03:01,0.10892311946125731,1,0.05950639037998957,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.331568043639724,target,0,0.64,2.0
HLA-DRB1*03:01,0.4627962471029435,1,0.18694192327309786,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.2128559571805657,target,1,0.76,2.0
HLA-DRB1*03:01,0.05690672594888347,1,0.04267936291416454,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.4128413341615296,target,2,0.68,2.0
HLA-DRB1*03:01,-0.07000694509013995,1,-0.04457074965112132,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.4293895581207192,target,3,0.48,2.0
HLA-DRB1*03:01,0.1053599105748353,1,0.09815907575305838,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.5138075971559053,target,4,0.48,2.0
HLA-DRB1*03:01,0.08198670855202561,2,0.05188772387558323,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.1340234939273426,target,0,0.6,2.0
HLA-DRB1*03:01,0.5777966302522685,2,0.27487996063303605,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,0.9635479690761914,target,1,0.72,2.0
HLA-DRB1*03:01,0.024690315863073443,2,0.020678740636591107,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.234528898563479,target,2,0.64,2.0
HLA-DRB1*03:01,-0.06359860962747127,2,-0.04625456626030042,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.2219313642225267,target,3,0.44,2.0
HLA-DRB1*03:01,0.17938639304647142,2,0.17590667506391974,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.2877174336805526,target,4,0.52,2.0
HLA-DRB1*03:01,0.19358777282691877,3,0.13237403857472835,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,0.9913559689333993,target,0,0.68,2.0
HLA-DRB1*03:01,0.5257121856562765,3,0.27342673612926033,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,0.8762312062170327,target,1,0.72,2.0
HLA-DRB1*03:01,0.13517256421594764,3,0.11929293933407152,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.083335781543718,target,2,0.72,2.0
HLA-DRB1*03:01,0.0219922334816791,3,0.017113998354601333,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.0875899312980892,target,3,0.52,2.0
HLA-DRB1*03:01,0.05272503387622079,3,0.05248421420198079,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.3017846677976976,target,4,0.44,2.0
HLA-DRB1*03:01,0.1279247305500832,4,0.08625008755881729,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.0344395452446042,target,0,0.64,2.0
HLA-DRB1*03:01,0.5982096711733262,4,0.306058826908361,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,0.871724432473517,target,1,0.76,2.0
HLA-DRB1*03:01,0.069729545650225,4,0.060976259731457226,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.1346055628602838,target,2,0.68,2.0
HLA-DRB1*03:01,-0.01402204743903548,4,-0.010779782854736195,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.1203450866023503,target,3,0.48,2.0
HLA-DRB1*03:01,0.1450170004172684,4,0.14406408498699297,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.250466943161697,target,4,0.48,2.0
HLA-DRB1*03:01,0.45592878059922215,0,0.4552047749926796,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.9495506022342413,target,0,0.4,4.0
HLA-DRB1*03:01,0.09085685725835584,0,0.0781364371437597,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0330070642632347,target,1,0.4,4.0
HLA-DRB1*03:01,0.5698352317952388,0,0.5570043443717788,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.9907563739661814,target,2,0.4,4.0
HLA-DRB1*03:01,0.3111743345925892,0,0.3034911461863862,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.9987001396629769,target,3,0.4,4.0
HLA-DRB1*03:01,-0.8976067809347832,0,-0.816955866780211,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.498670834421544,target,4,0.04,4.0
HLA-DRB1*03:01,-0.30464808496818097,1,-0.3042577967214791,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.4647664979077908,target,0,0.2,4.0
HLA-DRB1*03:01,-0.5591441962769107,1,-0.48226769877549536,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.3042204351131559,target,1,0.2,4.0
HLA-DRB1*03:01,-0.2172254780447959,1,-0.21207353924041356,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.6351227052282027,target,2,0.2,4.0
HLA-DRB1*03:01,-0.36060010255799485,1,-0.35213770266268596,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.3866344329740363,target,3,0.2,4.0
HLA-DRB1*03:01,-0.7885091342936478,1,-0.7193617515726425,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.4519630581469705,target,4,0.24,4.0
HLA-DRB1*03:01,-0.020692433130366093,2,-0.01969731190328828,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.104107803548311,target,0,0.28,4.0
HLA-DRB1*03:01,-0.2626245591148243,2,-0.2579448104189063,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.937065941626157,target,1,0.28,4.0
HLA-DRB1*03:01,0.07155928257403682,2,0.060777623581233314,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.284352708367112,target,2,0.28,4.0
HLA-DRB1*03:01,-0.0632644577531783,2,-0.0625742068860103,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0165340865121228,target,3,0.28,4.0
HLA-DRB1*03:01,-0.8170238240327866,2,-0.8151479648236793,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.1873059096163496,target,4,0.16,4.0
HLA-DRB1*03:01,0.02924362901628882,3,0.02870978611814283,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.1289506681031614,target,0,0.4,4.0
HLA-DRB1*03:01,-0.26144173581076,3,-0.2490471674356307,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0087822338781456,target,1,0.4,4.0
HLA-DRB1*03:01,0.13407637612171694,3,0.12087716416338472,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.2831989661445438,target,2,0.4,4.0
HLA-DRB1*03:01,-0.055688285791320166,3,-0.05567171797799663,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.0722977892845105,target,3,0.4,4.0
HLA-DRB1*03:01,-0.8781061205111084,3,-0.8621937968330702,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.289784730195909,target,4,0.04,4.0
HLA-DRB1*03:01,0.46886436182827085,4,0.4676772196684982,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.8810084008757075,target,0,0.4,4.0
HLA-DRB1*03:01,0.14157213562714938,4,0.12913128041380212,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.9146460743026854,target,1,0.4,4.0
HLA-DRB1*03:01,0.5790307201495835,4,0.5467682183831329,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.9565700644196656,target,2,0.4,4.0
HLA-DRB1*03:01,0.35084493829656044,4,0.3492037257203662,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,0.8965391779063523,target,3,0.4,4.0
HLA-DRB1*03:01,-0.8617549550213565,4,-0.8211647854294151,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,full,1.375711324402373,target,4,0.04,4.0
HLA-DRB1*03:01,0.17732091426239135,0,0.13907326081017699,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,0.9680134495721148,target,0,0.72,4.0
HLA-DRB1*03:01,0.23046574257220878,0,0.10330268335114576,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,0.9137956602936589,target,1,0.68,4.0
HLA-DRB1*03:01,0.19714637294527843,0,0.18246247516334804,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.022644827143986,target,2,0.76,4.0
HLA-DRB1*03:01,0.06128984556180803,0,0.05113203562757602,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.0386107552758421,target,3,0.52,4.0
HLA-DRB1*03:01,-0.14538813922281918,0,-0.14265303185918177,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.2996700571780286,target,4,0.4,4.0
HLA-DRB1*03:01,0.04973003438628799,1,0.03355077789103338,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.2348681468442213,target,0,0.68,4.0
HLA-DRB1*03:01,0.11300414058067235,1,0.041403258674035485,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.1669695191463576,target,1,0.64,4.0
HLA-DRB1*03:01,0.07344527051779845,1,0.061308400251907584,HLA-DRB1*03:01|EBV_IEDB_73663fe4c7bb|SELF_IEDB_842d700c6a24,HY03_SEQ_01,hla_normalized,1.2884857159605165,target,2,0.72,4.0
