target_pair_id,target_readiness_before_expansion,target_ebv_peptide_length,target_human_peptide_length,direct_background_length_match_count,direct_background_candidate_ids,coverage_interpretation,claim_boundary
EBV_TCELL_1393562::HUMAN_MYELIN_115622,partial,10,19,4,HUMAN_BACKGROUND_10461;HUMAN_BACKGROUND_115891;HUMAN_BACKGROUND_118550;HUMAN_BACKGROUND_119732,length_feasible_pending_iedb_and_structure,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_1393562::HUMAN_MYELIN_119972,partial,10,16,12,HUMAN_BACKGROUND_10460;HUMAN_BACKGROUND_108324;HUMAN_BACKGROUND_108677;HUMAN_BACKGROUND_119780;HUMAN_BACKGROUND_119817;HUMAN_BACKGROUND_119901;HUMAN_BACKGROUND_119902;HUMAN_BACKGROUND_119921;HUMAN_BACKGROUND_119963;HUMAN_BACKGROUND_120023;HUMAN_BACKGROUND_120112;HUMAN_BACKGROUND_65787,length_feasible_pending_iedb_and_structure,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_149795::HUMAN_MYELIN_115622,ready,20,19,4,HUMAN_BACKGROUND_10461;HUMAN_BACKGROUND_115891;HUMAN_BACKGROUND_118550;HUMAN_BACKGROUND_119732,length_feasible_pending_iedb_and_structure,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_149795::HUMAN_MYELIN_119972,partial,20,16,12,HUMAN_BACKGROUND_10460;HUMAN_BACKGROUND_108324;HUMAN_BACKGROUND_108677;HUMAN_BACKGROUND_119780;HUMAN_BACKGROUND_119817;HUMAN_BACKGROUND_119901;HUMAN_BACKGROUND_119902;HUMAN_BACKGROUND_119921;HUMAN_BACKGROUND_119963;HUMAN_BACKGROUND_120023;HUMAN_BACKGROUND_120112;HUMAN_BACKGROUND_65787,length_feasible_pending_iedb_and_structure,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_2268720::HUMAN_MYELIN_117117,no eligible decoy,15,32,0,,no_direct_background_length_match_in_current_source_set,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_2268933::HUMAN_MYELIN_116993,no eligible decoy,14,40,0,,no_direct_background_length_match_in_current_source_set,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_2268933::HUMAN_MYELIN_40762,partial,14,20,1,HUMAN_BACKGROUND_119732,length_feasible_pending_iedb_and_structure,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_2268933::HUMAN_MYELIN_5516,partial,14,20,1,HUMAN_BACKGROUND_119732,length_feasible_pending_iedb_and_structure,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_2268934::HUMAN_MYELIN_116995,no eligible decoy,17,19,4,HUMAN_BACKGROUND_10461;HUMAN_BACKGROUND_115891;HUMAN_BACKGROUND_118550;HUMAN_BACKGROUND_119732,length_feasible_pending_iedb_and_structure,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
EBV_TCELL_2268934::HUMAN_MYELIN_117032,no eligible decoy,17,32,0,,no_direct_background_length_match_in_current_source_set,"Length feasibility only; binding-bin matching, register eligibility, and pMHC geometry must be established before a comparator can become a decoy."
