canonical_fixed_pqr,canonical_fixed_pqr_sha256,canonical_pqr,canonical_pqr_sha256,fixed_pqr,fixed_pqr_sha256,hla_charge_donor_model_key,model_key,peptide_modal_charge_donor_model_key,replaced_atom_count,status,total_atom_count
raw_calculations/canonical_fixed_charge/pdb_HY2E11_BALF5.pqr,f37eedee99bd68ad8109b0cedbd4ef241bce417e96539b029ea687256b955f63,raw_calculations/canonical_pqr/pdb_HY2E11_BALF5.pqr,f37eedee99bd68ad8109b0cedbd4ef241bce417e96539b029ea687256b955f63,raw_calculations/fixed_charge/pdb_HY2E11_BALF5.pqr,5464d412ed519909d2335e6d58f50b8d8d96683035db68e0937a4bc5748d13fb,pdb|HY2E11_BALF5,pdb|HY2E11_BALF5,pdb|HY2E11_BALF5,6166,complete,6166
raw_calculations/canonical_fixed_charge/pdb_HY2E11_MBP.pqr,f3336e8b0ffbbc202aa8f5bc87c87d73d3815a97101b52910fc04ca7b54dd9b5,raw_calculations/canonical_pqr/pdb_HY2E11_MBP.pqr,f3336e8b0ffbbc202aa8f5bc87c87d73d3815a97101b52910fc04ca7b54dd9b5,raw_calculations/fixed_charge/pdb_HY2E11_MBP.pqr,b975644a3f5c1271869d8ef2fd4b092ecc90a2b572f76240353d479095a5d1e4,pdb|HY2E11_MBP,pdb|HY2E11_MBP,pdb|HY2E11_MBP,6221,complete,6221
raw_calculations/canonical_fixed_charge/pdb_OB1A12_ENGA.pqr,fa915085750f08bf5f92dcb70493e002eb8f00e680a7cae5991394fcb8ca9fd5,raw_calculations/canonical_pqr/pdb_OB1A12_ENGA.pqr,48d5dc481c5f8b9407527646c8fd435fbfa5dd969d2c6b8c031ccc995b14c6db,raw_calculations/fixed_charge/pdb_OB1A12_ENGA.pqr,8ebc1b03f6d7787d2b7e941b0b17e6b7c96efa9a77c9495eb06601b64f9bdb4a,pdb|HY2E11_MBP,pdb|OB1A12_ENGA,pdb|OB1A12_ENGA,8197,complete,9872
raw_calculations/canonical_fixed_charge/pdb_OB1A12_MBP.pqr,6ca0e367f80976e39da1a4e5149f9091c97d12565a4e0643bc2742f813f15639,raw_calculations/canonical_pqr/pdb_OB1A12_MBP.pqr,450fd6bea7c78f4c724898686013074d438d395e3c887cdfc0988b7f93090f7d,raw_calculations/fixed_charge/pdb_OB1A12_MBP.pqr,87d2cc897383ac42a02ace93224656ff098bb269a66057432f7d9718ba02f76f,pdb|HY2E11_MBP,pdb|OB1A12_MBP,pdb|OB1A12_MBP,5492,complete,6033
raw_calculations/canonical_fixed_charge/pdb_HY1B11_UL15.pqr,df7fa510aa540af59e254f1e3f73a864d4f7cb23eabedd969c694f81fb7d830e,raw_calculations/canonical_pqr/pdb_HY1B11_UL15.pqr,666920db08f2eeaadea9813c27f86a9ef216e82b4c55040fa484a61fa4d5504b,raw_calculations/fixed_charge/pdb_HY1B11_UL15.pqr,7c1bca74bdc17a74661f14fd521b1638ab5c6a54fc676367e3dc6a521c3e293d,pdb|HY1B11_MBP,pdb|HY1B11_UL15,pdb|HY1B11_UL15,8489,complete,9677
raw_calculations/canonical_fixed_charge/pdb_HY1B11_PMM.pqr,9c3a728a24706ebd13fc3fc55613cc497515343966dd3720760af9752ea3a406,raw_calculations/canonical_pqr/pdb_HY1B11_PMM.pqr,84072f6c51920bd178b606e38db27e2c9bcd409be4fe01e52dfb1e1050c4111a,raw_calculations/fixed_charge/pdb_HY1B11_PMM.pqr,f417df2bdbb7970046c4b5db6c292f8990b226ba80f914b3adf8a871b1fd4562,pdb|HY1B11_MBP,pdb|HY1B11_PMM,pdb|HY1B11_PMM,9723,complete,9728
raw_calculations/canonical_fixed_charge/pdb_HY1B11_MBP.pqr,a15042040e5c39681cca6ec2273add35813cbd64c8c9e5e3de635ac614f1b407,raw_calculations/canonical_pqr/pdb_HY1B11_MBP.pqr,a15042040e5c39681cca6ec2273add35813cbd64c8c9e5e3de635ac614f1b407,raw_calculations/fixed_charge/pdb_HY1B11_MBP.pqr,a718429342901bcca91f41a336f5e78070808ed23cbf78b6c498ab423fa584b9,pdb|HY1B11_MBP,pdb|HY1B11_MBP,pdb|HY1B11_MBP,9723,complete,9723
raw_calculations/canonical_fixed_charge/pdb_PDB_DRB5_MBP_ALT_1FV1.pqr,6152002c7855b252c8eaf51842ce0953ad3686d2b09327bd67e7f75c7023579d,raw_calculations/canonical_pqr/pdb_PDB_DRB5_MBP_ALT_1FV1.pqr,bc97f51c9a2591cd7cd5428c652bbe7f12b7eb6366d5d1d09f3af9536fe188d1,raw_calculations/fixed_charge/pdb_PDB_DRB5_MBP_ALT_1FV1.pqr,433e9e274b5628c2a5c1a3ce0ce60d0240c349cfde4a3f996302f2d15ec18ea2,pdb|HY2E11_BALF5,pdb|PDB_DRB5_MBP_ALT_1FV1,pdb|PDB_DRB5_MBP_ALT_1FV1,4983,complete,6262
raw_calculations/canonical_fixed_charge/pdb_PDB_DR15_ALPHA3_5V4M.pqr,165830078ff0b6de3ad8196bffd61ea9618702924691eee510078e03f58c244b,raw_calculations/canonical_pqr/pdb_PDB_DR15_ALPHA3_5V4M.pqr,c5e80781948fc7518cac97c10370ed4fa4798c60a4fc2f6d2d3f159273ed2e4c,raw_calculations/fixed_charge/pdb_PDB_DR15_ALPHA3_5V4M.pqr,f5c49ad8f925a5c5f29a4188aba0c0c1b20698541bfbb08e708af5d4b0332a49,pdb|HY2E11_MBP,pdb|PDB_DR15_ALPHA3_5V4M,pdb|PDB_DR15_ALPHA3_5V4M,3661,complete,6097
raw_calculations/canonical_fixed_charge/pdb_PDB_DR15_GDP_6CPO.pqr,b7b387303c911801037da58467668da811f5491819307fe781b96f25c4052807,raw_calculations/canonical_pqr/pdb_PDB_DR15_GDP_6CPO.pqr,6e99e1130cace7bb252613325ac7a433a9b600ae4e9e78f405e660ac7e98bf07,raw_calculations/fixed_charge/pdb_PDB_DR15_GDP_6CPO.pqr,2330513cbf83b9277bed1a526ad23ccdbd93eaaa4a782c8ba78e3095634898f6,pdb|HY2E11_MBP,pdb|PDB_DR15_GDP_6CPO,pdb|PDB_DR15_GDP_6CPO,3699,complete,6131
